,Date,Trend
0,2015-08-09,0
1,2015-08-16,11
2,2015-08-23,5
3,2015-08-30,5
4,2015-09-06,5
5,2015-09-13,7
6,2015-09-20,5
7,2015-09-27,5
8,2015-10-04,5
9,2015-10-11,5
10,2015-10-18,5
11,2015-10-25,5
12,2015-11-01,7
13,2015-11-08,12
14,2015-11-15,15
15,2015-11-22,10
16,2015-11-29,5
17,2015-12-06,15
18,2015-12-13,12
19,2015-12-20,11
20,2015-12-27,11
21,2016-01-03,9
22,2016-01-10,10
23,2016-01-17,18
24,2016-01-24,5
25,2016-01-31,8
26,2016-02-07,10
27,2016-02-14,10
28,2016-02-21,17
29,2016-02-28,12
30,2016-03-06,9
31,2016-03-13,8
32,2016-03-20,11
33,2016-03-27,10
34,2016-04-03,10
35,2016-04-10,7
36,2016-04-17,16
37,2016-04-24,8
38,2016-05-01,0
39,2016-05-08,10
40,2016-05-15,8
41,2016-05-22,9
42,2016-05-29,11
43,2016-06-05,11
44,2016-06-12,10
45,2016-06-19,7
46,2016-06-26,16
47,2016-07-03,6
48,2016-07-10,0
49,2016-07-17,6
50,2016-07-24,11
51,2016-07-31,8
52,2016-08-07,9
53,2016-08-14,9
54,2016-08-21,0
55,2016-08-28,16
56,2016-09-04,16
57,2016-09-11,9
58,2016-09-18,5
59,2016-09-25,5
60,2016-10-02,0
61,2016-10-09,5
62,2016-10-16,5
63,2016-10-23,11
64,2016-10-30,0
65,2016-11-06,5
66,2016-11-13,7
67,2016-11-20,7
68,2016-11-27,5
69,2016-12-04,8
70,2016-12-11,7
71,2016-12-18,5
72,2016-12-25,11
73,2017-01-01,5
74,2017-01-08,10
75,2017-01-15,5
76,2017-01-22,7
77,2017-01-29,7
78,2017-02-05,12
79,2017-02-12,10
80,2017-02-19,6
81,2017-02-26,13
82,2017-03-05,12
83,2017-03-12,8
84,2017-03-19,0
85,2017-03-26,10
86,2017-04-02,10
87,2017-04-09,5
88,2017-04-16,7
89,2017-04-23,10
90,2017-04-30,5
91,2017-05-07,6
92,2017-05-14,8
93,2017-05-21,5
94,2017-05-28,5
95,2017-06-04,5
96,2017-06-11,5
97,2017-06-18,0
98,2017-06-25,10
99,2017-07-02,8
100,2017-07-09,5
101,2017-07-16,10
102,2017-07-23,10
103,2017-07-30,10
104,2017-08-06,5
105,2017-08-13,10
106,2017-08-20,5
107,2017-08-27,7
108,2017-09-03,7
109,2017-09-10,5
110,2017-09-17,5
111,2017-09-24,5
112,2017-10-01,7
113,2017-10-08,5
114,2017-10-15,7
115,2017-10-22,12
116,2017-10-29,0
117,2017-11-05,7
118,2017-11-12,14
119,2017-11-19,5
120,2017-11-26,5
121,2017-12-03,9
122,2017-12-10,14
123,2017-12-17,16
124,2017-12-24,8
125,2017-12-31,10
126,2018-01-07,8
127,2018-01-14,12
128,2018-01-21,11
129,2018-01-28,5
130,2018-02-04,7
131,2018-02-11,6
132,2018-02-18,9
133,2018-02-25,9
134,2018-03-04,10
135,2018-03-11,9
136,2018-03-18,8
137,2018-03-25,6
138,2018-04-01,9
139,2018-04-08,9
140,2018-04-15,8
141,2018-04-22,5
142,2018-04-29,5
143,2018-05-06,9
144,2018-05-13,9
145,2018-05-20,8
146,2018-05-27,19
147,2018-06-03,9
148,2018-06-10,13
149,2018-06-17,6
150,2018-06-24,12
151,2018-07-01,5
152,2018-07-08,5
153,2018-07-15,7
154,2018-07-22,5
155,2018-07-29,15
156,2018-08-05,14
157,2018-08-12,11
158,2018-08-19,15
159,2018-08-26,11
160,2018-09-02,9
161,2018-09-09,9
162,2018-09-16,11
163,2018-09-23,11
164,2018-09-30,18
165,2018-10-07,9
166,2018-10-14,6
167,2018-10-21,7
168,2018-10-28,9
169,2018-11-04,6
170,2018-11-11,6
171,2018-11-18,4
172,2018-11-25,9
173,2018-12-02,0
174,2018-12-09,8
175,2018-12-16,14
176,2018-12-23,5
177,2018-12-30,11
178,2019-01-06,7
179,2019-01-13,9
180,2019-01-20,6
181,2019-01-27,4
182,2019-02-03,6
183,2019-02-10,7
184,2019-02-17,7
185,2019-02-24,7
186,2019-03-03,9
187,2019-03-10,11
188,2019-03-17,4
189,2019-03-24,4
190,2019-03-31,4
191,2019-04-07,13
192,2019-04-14,5
193,2019-04-21,9
194,2019-04-28,13
195,2019-05-05,15
196,2019-05-12,10
197,2019-05-19,9
198,2019-05-26,0
199,2019-06-02,4
200,2019-06-09,13
201,2019-06-16,21
202,2019-06-23,13
203,2019-06-30,10
204,2019-07-07,16
205,2019-07-14,13
206,2019-07-21,16
207,2019-07-28,17
208,2019-08-04,7
209,2019-08-11,22
210,2019-08-18,13
211,2019-08-25,16
212,2019-09-01,11
213,2019-09-08,15
214,2019-09-15,14
215,2019-09-22,17
216,2019-09-29,17
217,2019-10-06,4
218,2019-10-13,10
219,2019-10-20,12
220,2019-10-27,5
221,2019-11-03,11
222,2019-11-10,11
223,2019-11-17,4
224,2019-11-24,10
225,2019-12-01,7
226,2019-12-08,8
227,2019-12-15,21
228,2019-12-22,12
229,2019-12-29,12
230,2020-01-05,6
231,2020-01-12,12
232,2020-01-19,29
233,2020-01-26,24
234,2020-02-02,25
235,2020-02-09,9
236,2020-02-16,21
237,2020-02-23,16
238,2020-03-01,13
239,2020-03-08,11
240,2020-03-15,17
241,2020-03-22,14
242,2020-03-29,27
243,2020-04-05,19
244,2020-04-12,31
245,2020-04-19,27
246,2020-04-26,44
247,2020-05-03,34
248,2020-05-10,39
249,2020-05-17,42
250,2020-05-24,29
251,2020-05-31,25
252,2020-06-07,36
253,2020-06-14,35
254,2020-06-21,45
255,2020-06-28,49
256,2020-07-05,54
257,2020-07-12,49
258,2020-07-19,63
259,2020-07-26,97
260,2020-08-02,100
