,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,Feel
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695849665175146500,695849665175146500,1454738463000,2016-02-06,09:31:03,430,2463165061,bourseiness,بورسینس,,علت رشد قیمت سهام “#خمحرکه” چیست؟: بورسینس دات‌کام: شرکت صنعتی نیرو محرکه (خمحرکه) پیش بینی…  http://goo.gl/fb/jn16RE ,[],['http://goo.gl/fb/jn16RE'],[],0,0,0,['#خمحرکه'],[],https://twitter.com/bourseiness/status/695849665175146500,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,702053684197335040,702053684197335040,1456217616000,2016-02-23,12:23:36,430,2463165061,bourseiness,بورسینس,,#خمحرکه تحلیل تکنیکال بنظر میرسد سهم به هدف خود رسیده و نیاز به اصلاح…  http://goo.gl/fb/7aNwW4  #اقتصاد #بورس,[],['http://goo.gl/fb/7aNwW4'],[],0,0,0,"['#خمحرکه', '#اقتصاد', '#بورس']",[],https://twitter.com/bourseiness/status/702053684197335040,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,704199845028954112,704199845028954112,1456729301000,2016-02-29,10:31:41,430,2463165061,bourseiness,بورسینس,,#خمحرکه دوباره با خبر بلوک 480 تومانیش صف خرید سنگین دارد  http://goo.gl/fb/W5P9Dh  #اقتصاد,[],['http://goo.gl/fb/W5P9Dh'],[],0,0,0,"['#خمحرکه', '#اقتصاد']",[],https://twitter.com/bourseiness/status/704199845028954112,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,704190770715164672,704190770715164672,1456727137000,2016-02-29,09:55:37,430,2463165061,bourseiness,بورسینس,,#خمحرکه مدیرعامل شرکت نیرو محرکه پیرامون عرضه بلوک سهام #خمحرکه توسط شرکت سرمایه…  http://goo.gl/fb/MKFmCn  #اقتصاد,[],['http://goo.gl/fb/MKFmCn'],[],0,0,0,"['#خمحرکه', '#خمحرکه', '#اقتصاد']",[],https://twitter.com/bourseiness/status/704190770715164672,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,704579669870419968,704579669870419968,1456819858000,2016-03-01,11:40:58,430,2463165061,bourseiness,بورسینس,,#خمحرکه تا کنون بیش از 8 میلیون سهام معامله شده و سهم به صف…  http://goo.gl/fb/qV8G3W  #اقتصاد,[],['http://goo.gl/fb/qV8G3W'],[],0,0,0,"['#خمحرکه', '#اقتصاد']",[],https://twitter.com/bourseiness/status/704579669870419968,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,704913087309205505,704913087309205505,1456899351000,2016-03-02,09:45:51,430,2463165061,bourseiness,بورسینس,,#گروه خودروسازی از فشار عرضه در گروه خودرو کاسته شد #خودرو و #خمحرکه در…  http://goo.gl/fb/WCiV1O  #اقتصاد,[],['http://goo.gl/fb/WCiV1O'],[],0,0,0,"['#گروه', '#خودرو', '#خمحرکه', '#اقتصاد']",[],https://twitter.com/bourseiness/status/704913087309205505,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,713604058880348161,713604058880348161,1458971440000,2016-03-26,10:20:40,430,2463165061,bourseiness,بورسینس,,🗣شایعات و شنیده ها #خمحرکه ⭕️ بلوک487تومنی سهم خمحرکه تا یکماه دیگر آگهی میشود…  http://goo.gl/fb/Hmi8kY  #اقتصاد,[],['http://goo.gl/fb/Hmi8kY'],[],0,0,0,"['#خمحرکه', '#اقتصاد']",[],https://twitter.com/bourseiness/status/713604058880348161,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,714353244978487296,714353244978487296,1459150060000,2016-03-28,11:57:40,430,2463165061,bourseiness,بورسینس,,#خمحرکه صف خرید  http://goo.gl/fb/M7nw9H  #اقتصاد,[],['http://goo.gl/fb/M7nw9H'],[],0,0,0,"['#خمحرکه', '#اقتصاد']",[],https://twitter.com/bourseiness/status/714353244978487296,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,714683707211268096,714683707211268096,1459228848000,2016-03-29,09:50:48,430,2463165061,bourseiness,بورسینس,,#خمحرکه قیمت پایانی این نماد به +5 رسید  http://goo.gl/fb/9uZHo0  #اقتصاد,[],['http://goo.gl/fb/9uZHo0'],[],0,0,0,"['#خمحرکه', '#اقتصاد']",[],https://twitter.com/bourseiness/status/714683707211268096,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,719029464030687233,719029464030687233,1460264957000,2016-04-10,09:39:17,430,2463165061,bourseiness,بورسینس,,#خمحرکه آمار تولید و فروش اسفند ماه ۹۴  http://goo.gl/fb/Pri5l2  #اقتصاد,[],['http://goo.gl/fb/Pri5l2'],[],0,0,0,"['#خمحرکه', '#اقتصاد']",[],https://twitter.com/bourseiness/status/719029464030687233,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
