,Date,Trend
0,2015-08-09,15
1,2015-08-16,14
2,2015-08-23,13
3,2015-08-30,15
4,2015-09-06,13
5,2015-09-13,14
6,2015-09-20,11
7,2015-09-27,12
8,2015-10-04,13
9,2015-10-11,12
10,2015-10-18,10
11,2015-10-25,11
12,2015-11-01,11
13,2015-11-08,11
14,2015-11-15,11
15,2015-11-22,11
16,2015-11-29,12
17,2015-12-06,12
18,2015-12-13,11
19,2015-12-20,11
20,2015-12-27,12
21,2016-01-03,15
22,2016-01-10,14
23,2016-01-17,14
24,2016-01-24,14
25,2016-01-31,16
26,2016-02-07,14
27,2016-02-14,13
28,2016-02-21,12
29,2016-02-28,12
30,2016-03-06,11
31,2016-03-13,10
32,2016-03-20,12
33,2016-03-27,12
34,2016-04-03,12
35,2016-04-10,13
36,2016-04-17,11
37,2016-04-24,11
38,2016-05-01,11
39,2016-05-08,12
40,2016-05-15,12
41,2016-05-22,11
42,2016-05-29,12
43,2016-06-05,12
44,2016-06-12,11
45,2016-06-19,13
46,2016-06-26,14
47,2016-07-03,15
48,2016-07-10,14
49,2016-07-17,16
50,2016-07-24,14
51,2016-07-31,16
52,2016-08-07,16
53,2016-08-14,14
54,2016-08-21,13
55,2016-08-28,13
56,2016-09-04,14
57,2016-09-11,11
58,2016-09-18,11
59,2016-09-25,12
60,2016-10-02,12
61,2016-10-09,10
62,2016-10-16,15
63,2016-10-23,14
64,2016-10-30,12
65,2016-11-06,12
66,2016-11-13,13
67,2016-11-20,11
68,2016-11-27,13
69,2016-12-04,13
70,2016-12-11,13
71,2016-12-18,15
72,2016-12-25,15
73,2017-01-01,15
74,2017-01-08,14
75,2017-01-15,13
76,2017-01-22,12
77,2017-01-29,12
78,2017-02-05,11
79,2017-02-12,12
80,2017-02-19,10
81,2017-02-26,11
82,2017-03-05,9
83,2017-03-12,10
84,2017-03-19,12
85,2017-03-26,11
86,2017-04-02,12
87,2017-04-09,12
88,2017-04-16,11
89,2017-04-23,13
90,2017-04-30,25
91,2017-05-07,11
92,2017-05-14,11
93,2017-05-21,10
94,2017-05-28,10
95,2017-06-04,11
96,2017-06-11,10
97,2017-06-18,10
98,2017-06-25,10
99,2017-07-02,11
100,2017-07-09,11
101,2017-07-16,10
102,2017-07-23,11
103,2017-07-30,11
104,2017-08-06,12
105,2017-08-13,12
106,2017-08-20,11
107,2017-08-27,10
108,2017-09-03,10
109,2017-09-10,12
110,2017-09-17,11
