Date,Volume,Price,Trades,High,Low,Open,Close,Open-shifted
2016-02-20,15713796,45464249382,1385,3030.0,2836.0,2893.0,2840.0,2985.0
2016-02-21,46194396,139007615035,1582,3037.0,2783.0,3009.0,3037.0,2893.0
2016-02-22,24319887,76756222031,1264,3159.0,3072.0,3156.0,3159.0,3009.0
2016-02-23,41035487,134537017140,2658,3313.0,3129.0,3279.0,3200.0,3156.0
2016-02-24,24391091,80847925183,2377,3437.0,3130.0,3315.0,3299.0,3279.0
2016-02-27,23694044,82260330749,1484,3480.0,3320.0,3472.0,3480.0,3315.0
2016-02-28,36092929,128163296513,2944,3645.0,3400.0,3551.0,3490.0,3472.0
2016-02-29,15438761,52411989998,1682,3560.0,3374.0,3395.0,3374.0,3551.0
2016-03-01,43494572,145726614880,2460,3450.0,3226.0,3350.0,3279.0,3395.0
2016-03-02,11730658,38215329912,1388,3399.0,3199.0,3258.0,3217.0,3350.0
2016-03-05,24658962,84013499685,2443,3420.0,3282.0,3407.0,3420.0,3258.0
2016-03-06,12973461,43434759990,1649,3460.0,3268.0,3348.0,3299.0,3407.0
2016-03-07,9578952,31786802931,1188,3409.0,3247.0,3318.0,3280.0,3348.0
2016-03-08,12274931,41506661895,1550,3440.0,3301.0,3381.0,3350.0,3318.0
2016-03-09,11450945,38229147448,1167,3430.0,3294.0,3339.0,3312.0,3381.0
2016-03-12,39994866,131178334485,1683,3370.0,3220.0,3280.0,3250.0,3339.0
2016-03-14,12090317,38637074519,1910,3300.0,3120.0,3196.0,3200.0,3280.0
2016-03-15,40137313,132316848653,956,3310.0,3175.0,3297.0,3210.0,3196.0
2016-03-16,7332904,23248452345,1142,3289.0,3147.0,3170.0,3199.0,3297.0
2016-03-26,4724897,15539050803,644,3328.0,3161.0,3289.0,3328.0,3170.0
2016-03-27,2315950,7634048948,426,3400.0,3250.0,3294.0,3260.0,3289.0
2016-03-28,1738300,5624140017,306,3290.0,3215.0,3262.0,3250.0,3294.0
2016-03-29,3041615,9719551156,485,3225.0,3151.0,3198.0,3190.0,3262.0
2016-03-30,14658557,48885736120,1248,3357.0,3160.0,3335.0,3357.0,3198.0
2016-04-02,11949855,39845857428,1533,3430.0,3230.0,3334.0,3248.0,3335.0
2016-04-03,7665956,24343135127,985,3231.0,3168.0,3175.0,3169.0,3334.0
2016-04-04,7910662,25350476888,916,3300.0,3116.0,3205.0,3300.0,3175.0
2016-04-05,3366906,10864910676,499,3279.0,3190.0,3227.0,3210.0,3205.0
2016-04-06,3253020,10382199206,476,3227.0,3180.0,3192.0,3180.0,3227.0
2016-04-09,2691106,8626708212,450,3285.0,3181.0,3204.0,3185.0,3192.0
2016-04-10,3488838,11026930832,531,3210.0,3145.0,3161.0,3150.0,3204.0
2016-04-11,2303878,7263697588,338,3198.0,3147.0,3155.0,3149.0,3161.0
2016-04-12,4582676,14482153128,402,3200.0,3150.0,3160.0,3152.0,3155.0
2016-04-13,4129979,13135660753,596,3240.0,3122.0,3181.0,3150.0,3160.0
2016-04-16,4694691,14232280574,364,3150.0,3022.0,3032.0,3022.0,3181.0
2016-04-17,4071859,12031075572,533,3028.0,2882.0,2955.0,2967.0,3032.0
2016-04-18,5488668,16161367810,684,3030.0,2900.0,2944.0,2930.0,2955.0
2016-04-19,4896636,14472783237,637,3049.0,2825.0,2956.0,3030.0,2944.0
2016-04-20,3039892,9183568232,472,3097.0,2950.0,3019.0,2975.0,2956.0
2016-04-23,2557488,7603141243,342,3038.0,2921.0,2983.0,2922.0,3019.0
2016-04-24,4026140,12135903178,606,3089.0,2900.0,3014.0,3050.0,2983.0
2016-04-25,11252810,33165510495,898,3080.0,2900.0,2947.0,2900.0,3014.0
2016-04-26,3900567,11304774176,448,2975.0,2856.0,2898.0,2880.0,2947.0
2016-04-27,3788906,10979097914,531,2940.0,2850.0,2898.0,2900.0,2898.0
2016-04-30,5502031,15987325064,744,2950.0,2880.0,2906.0,2900.0,2898.0
2016-05-01,2594587,7409572353,503,2906.0,2832.0,2868.0,2870.0,2906.0
2016-05-02,2681478,7573704130,391,2880.0,2806.0,2834.0,2811.0,2868.0
2016-05-03,3537302,9764038916,649,2814.0,2728.0,2760.0,2730.0,2834.0
2016-05-04,2229494,6100255508,385,2760.0,2718.0,2745.0,2740.0,2760.0
2016-05-07,10739547,29533392530,601,2828.0,2610.0,2750.0,2661.0,2745.0
2016-05-08,2526148,6712603850,373,2700.0,2633.0,2686.0,2666.0,2750.0
2016-05-09,1380101,3681231435,260,2700.0,2632.0,2679.0,2652.0,2686.0
2016-05-10,2869291,7404195064,417,2640.0,2548.0,2601.0,2550.0,2679.0
2016-05-11,8448025,21939295858,393,2636.0,2485.0,2597.0,2550.0,2601.0
2016-05-14,4917772,12808720244,341,2660.0,2531.0,2605.0,2580.0,2597.0
2016-05-15,34570320,93279445894,470,2709.0,2545.0,2698.0,2646.0,2605.0
2016-05-16,34092755,94655868475,559,2800.0,2630.0,2776.0,2791.0,2698.0
2016-05-17,32063761,93210112512,1736,2914.0,2801.0,2907.0,2914.0,2776.0
2016-05-18,30365533,90700838070,1874,3040.0,2870.0,2987.0,2958.0,2907.0
2016-05-21,10678979,31646584898,794,3000.0,2879.0,2963.0,2910.0,2987.0
2016-05-23,2724017,7958193488,429,2969.0,2880.0,2929.0,2880.0,2963.0
2016-05-24,1834075,5265207360,305,2900.0,2850.0,2897.0,2890.0,2929.0
2016-05-25,11645251,34584327789,559,2990.0,2896.0,2970.0,2940.0,2897.0
2016-05-28,930688,2709986762,273,2988.0,2882.0,2954.0,2884.0,2970.0
2016-05-29,20091849,60804264999,407,3043.0,2876.0,3026.0,2926.0,2954.0
2016-05-30,1812959,5309517920,224,2969.0,2905.0,2974.0,2907.0,3026.0
2016-05-31,7617105,22792871796,230,3020.0,2875.0,2992.0,2888.0,2974.0
2016-06-01,933537,2719917227,176,2955.0,2892.0,2970.0,2901.0,2992.0
2016-06-05,11626548,34366457376,448,2999.0,2885.0,2956.0,2920.0,2970.0
