,Date,Trend
0,2015-08-09,0
1,2015-08-16,0
2,2015-08-23,0
3,2015-08-30,0
4,2015-09-06,0
5,2015-09-13,0
6,2015-09-20,0
7,2015-09-27,0
8,2015-10-04,0
9,2015-10-11,0
10,2015-10-18,0
11,2015-10-25,0
12,2015-11-01,3
13,2015-11-08,0
14,2015-11-15,3
15,2015-11-22,0
16,2015-11-29,0
17,2015-12-06,0
18,2015-12-13,0
19,2015-12-20,0
20,2015-12-27,4
21,2016-01-03,3
22,2016-01-10,3
23,2016-01-17,0
24,2016-01-24,3
25,2016-01-31,3
26,2016-02-07,7
27,2016-02-14,3
28,2016-02-21,0
29,2016-02-28,0
30,2016-03-06,3
31,2016-03-13,0
32,2016-03-20,3
33,2016-03-27,3
34,2016-04-03,0
35,2016-04-10,0
36,2016-04-17,0
37,2016-04-24,7
38,2016-05-01,3
39,2016-05-08,0
40,2016-05-15,5
41,2016-05-22,3
42,2016-05-29,3
43,2016-06-05,3
44,2016-06-12,3
45,2016-06-19,0
46,2016-06-26,3
47,2016-07-03,4
48,2016-07-10,3
49,2016-07-17,7
50,2016-07-24,4
51,2016-07-31,4
52,2016-08-07,0
53,2016-08-14,0
54,2016-08-21,0
55,2016-08-28,0
56,2016-09-04,0
57,2016-09-11,0
58,2016-09-18,0
59,2016-09-25,3
60,2016-10-02,3
61,2016-10-09,3
62,2016-10-16,7
63,2016-10-23,3
64,2016-10-30,0
65,2016-11-06,3
66,2016-11-13,3
67,2016-11-20,3
68,2016-11-27,3
69,2016-12-04,3
70,2016-12-11,3
71,2016-12-18,3
72,2016-12-25,4
73,2017-01-01,7
74,2017-01-08,6
75,2017-01-15,3
76,2017-01-22,5
77,2017-01-29,3
78,2017-02-05,0
79,2017-02-12,0
80,2017-02-19,8
81,2017-02-26,9
82,2017-03-05,4
83,2017-03-12,3
84,2017-03-19,3
85,2017-03-26,8
86,2017-04-02,12
87,2017-04-09,3
88,2017-04-16,5
89,2017-04-23,6
90,2017-04-30,3
91,2017-05-07,5
92,2017-05-14,3
93,2017-05-21,3
94,2017-05-28,3
95,2017-06-04,3
96,2017-06-11,5
97,2017-06-18,3
98,2017-06-25,0
99,2017-07-02,3
100,2017-07-09,7
101,2017-07-16,3
102,2017-07-23,0
103,2017-07-30,3
104,2017-08-06,5
105,2017-08-13,5
106,2017-08-20,6
107,2017-08-27,3
108,2017-09-03,0
109,2017-09-10,3
110,2017-09-17,3
111,2017-09-24,3
112,2017-10-01,3
113,2017-10-08,3
114,2017-10-15,0
115,2017-10-22,6
116,2017-10-29,0
117,2017-11-05,9
118,2017-11-12,4
119,2017-11-19,0
120,2017-11-26,3
121,2017-12-03,4
122,2017-12-10,3
123,2017-12-17,0
124,2017-12-24,3
125,2017-12-31,3
126,2018-01-07,0
127,2018-01-14,3
128,2018-01-21,6
129,2018-01-28,3
130,2018-02-04,6
131,2018-02-11,4
132,2018-02-18,4
133,2018-02-25,8
134,2018-03-04,6
135,2018-03-11,4
136,2018-03-18,0
137,2018-03-25,3
138,2018-04-01,0
139,2018-04-08,0
140,2018-04-15,0
141,2018-04-22,4
142,2018-04-29,0
143,2018-05-06,0
144,2018-05-13,3
145,2018-05-20,4
146,2018-05-27,3
147,2018-06-03,3
148,2018-06-10,0
149,2018-06-17,0
150,2018-06-24,4
151,2018-07-01,6
152,2018-07-08,7
153,2018-07-15,6
154,2018-07-22,3
155,2018-07-29,9
156,2018-08-05,0
157,2018-08-12,3
158,2018-08-19,0
159,2018-08-26,0
160,2018-09-02,0
161,2018-09-09,3
162,2018-09-16,0
163,2018-09-23,3
164,2018-09-30,3
165,2018-10-07,3
166,2018-10-14,0
167,2018-10-21,8
168,2018-10-28,3
169,2018-11-04,0
170,2018-11-11,3
171,2018-11-18,4
172,2018-11-25,0
173,2018-12-02,0
174,2018-12-09,3
175,2018-12-16,4
176,2018-12-23,0
177,2018-12-30,6
178,2019-01-06,0
179,2019-01-13,6
180,2019-01-20,3
181,2019-01-27,0
182,2019-02-03,0
183,2019-02-10,3
184,2019-02-17,4
185,2019-02-24,5
186,2019-03-03,3
187,2019-03-10,3
188,2019-03-17,3
189,2019-03-24,0
190,2019-03-31,3
191,2019-04-07,6
192,2019-04-14,3
193,2019-04-21,7
194,2019-04-28,7
195,2019-05-05,11
196,2019-05-12,14
197,2019-05-19,8
198,2019-05-26,12
199,2019-06-02,8
200,2019-06-09,8
201,2019-06-16,13
202,2019-06-23,10
203,2019-06-30,8
204,2019-07-07,10
205,2019-07-14,7
206,2019-07-21,4
207,2019-07-28,13
208,2019-08-04,9
209,2019-08-11,10
210,2019-08-18,3
211,2019-08-25,7
212,2019-09-01,8
213,2019-09-08,5
214,2019-09-15,7
215,2019-09-22,9
216,2019-09-29,7
217,2019-10-06,10
218,2019-10-13,12
219,2019-10-20,9
220,2019-10-27,8
221,2019-11-03,6
222,2019-11-10,17
223,2019-11-17,0
224,2019-11-24,6
225,2019-12-01,9
226,2019-12-08,16
227,2019-12-15,11
228,2019-12-22,12
229,2019-12-29,17
