Date,Volume,Price,Trades,High,Low,Open,Close,Open-shifted
2016-02-20,2928053.0,9051309733.0,406.0,3140.0,3087.0,3091.0,3087.0,3249.0
2016-02-21,142007.0,417074559.0,44.0,2937.0,2937.0,2949.0,2937.0,3091.0
2016-02-22,6346477.0,18525708169.0,1047.0,3090.0,2810.0,2919.0,2830.0,2949.0
2016-02-23,1115660.0,3101792439.0,177.0,2840.0,2774.0,2780.0,2774.0,2919.0
2016-02-24,6164291.0,16474091033.0,817.0,2769.0,2641.0,2673.0,2690.0,2780.0
2016-02-27,2901738.0,7753904299.0,550.0,2799.0,2580.0,2672.0,2601.0,2673.0
2016-02-28,5361644.0,13923815554.0,835.0,2708.0,2539.0,2597.0,2558.0,2672.0
2016-02-29,4830106.0,12908429544.0,657.0,2726.0,2550.0,2672.0,2700.0,2597.0
2016-03-01,3236747.0,8667168385.0,521.0,2780.0,2588.0,2678.0,2645.0,2672.0
2016-03-02,2477014.0,6447514581.0,471.0,2670.0,2550.0,2603.0,2608.0,2678.0
2016-03-05,2572128.0,6991691534.0,259.0,2733.0,2686.0,2718.0,2733.0,2603.0
2016-03-06,504758.0,1440074574.0,58.0,2853.0,2853.0,2853.0,2853.0,2718.0
2016-03-07,6805077.0,19456368706.0,1085.0,2989.0,2711.0,2859.0,2766.0,2853.0
2016-03-08,8031184.0,23231004673.0,1275.0,2998.0,2721.0,2893.0,2892.0,2859.0
2016-03-09,2929619.0,8322627294.0,565.0,2927.0,2782.0,2841.0,2791.0,2893.0
2016-03-12,6656489.0,19702688842.0,898.0,2983.0,2854.0,2960.0,2983.0,2841.0
2016-03-14,7217312.0,22399820294.0,1101.0,3108.0,3013.0,3104.0,3108.0,2960.0
2016-04-30,12586913.0,16312796308.0,1111.0,1329.0,1204.0,1296.0,1329.0,1016.0
2016-05-01,13808693.0,18727881171.0,1159.0,1360.0,1306.0,1356.0,1360.0,1296.0
2016-05-02,13301502.0,18637692911.0,1408.0,1423.0,1310.0,1401.0,1398.0,1356.0
2016-05-03,11507194.0,15597657773.0,1113.0,1410.0,1331.0,1355.0,1332.0,1401.0
2016-05-04,6897341.0,9324502742.0,954.0,1383.0,1301.0,1352.0,1340.0,1355.0
2016-05-07,2519645.0,3270000163.0,367.0,1350.0,1285.0,1298.0,1285.0,1352.0
2016-05-08,5070469.0,6352748615.0,597.0,1300.0,1234.0,1253.0,1270.0,1298.0
2016-05-09,2497706.0,3172329859.0,379.0,1305.0,1230.0,1270.0,1240.0,1253.0
2016-05-10,1544793.0,1885682158.0,206.0,1280.0,1207.0,1221.0,1207.0,1270.0
2016-05-11,3055997.0,3553424228.0,340.0,1215.0,1160.0,1163.0,1171.0,1221.0
2016-05-14,15028734.0,16768368260.0,1319.0,1159.0,1105.0,1116.0,1105.0,1163.0
2016-05-17,2687002.0,2762222101.0,297.0,1047.0,1010.0,1028.0,1029.0,1116.0
2016-05-18,8732545.0,9266226724.0,812.0,1079.0,1020.0,1061.0,1079.0,1028.0
2016-05-21,1051258.0,1171101412.0,59.0,1114.0,1114.0,1114.0,1114.0,1061.0
2016-05-23,1197014.0,1399309366.0,92.0,1169.0,1169.0,1169.0,1169.0,1114.0
2016-05-24,28666065.0,34814350336.0,2562.0,1227.0,1185.0,1214.0,1198.0,1169.0
2016-05-25,9227414.0,10837983912.0,1021.0,1210.0,1154.0,1175.0,1160.0,1214.0
2016-05-28,3916433.0,4501116747.0,536.0,1180.0,1133.0,1149.0,1140.0,1175.0
2016-05-29,2674240.0,3064667816.0,419.0,1179.0,1122.0,1146.0,1149.0,1149.0
2016-05-30,3640527.0,4170152255.0,368.0,1160.0,1137.0,1145.0,1140.0,1146.0
2016-05-31,7932718.0,8662757287.0,744.0,1132.0,1088.0,1092.0,1090.0,1145.0
2016-06-01,3125623.0,3470437687.0,396.0,1129.0,1090.0,1110.0,1123.0,1092.0
2016-06-05,4266257.0,4815290520.0,479.0,1158.0,1110.0,1129.0,1112.0,1110.0
2016-06-06,4668469.0,5134929773.0,606.0,1127.0,1079.0,1100.0,1090.0,1129.0
2016-06-07,2527232.0,2762013353.0,263.0,1119.0,1074.0,1093.0,1090.0,1100.0
2016-06-08,2361749.0,2578027009.0,465.0,1114.0,1075.0,1092.0,1078.0,1093.0
2016-06-11,2998432.0,3126015114.0,316.0,1075.0,1038.0,1043.0,1038.0,1092.0
2016-06-12,3040741.0,3092354106.0,420.0,1078.0,991.0,1017.0,1014.0,1043.0
2016-06-13,2306618.0,2328413546.0,290.0,1038.0,990.0,1009.0,1000.0,1017.0
2016-06-14,3803301.0,3657454895.0,388.0,1000.0,959.0,962.0,959.0,1009.0
2016-06-15,2576516.0,2487521837.0,394.0,994.0,925.0,965.0,980.0,962.0
2016-06-18,1248456.0,1213145942.0,150.0,1007.0,956.0,972.0,960.0,965.0
2016-06-19,1800920.0,1673657728.0,272.0,979.0,924.0,929.0,925.0,972.0
2016-06-20,1323309.0,1192671003.0,206.0,949.0,883.0,901.0,884.0,929.0
2016-06-21,2435109.0,2218598164.0,337.0,930.0,866.0,911.0,920.0,901.0
2016-06-22,1397098.0,1330086747.0,192.0,956.0,927.0,952.0,956.0,911.0
2016-06-25,2620356.0,2509492425.0,375.0,985.0,925.0,958.0,957.0,952.0
2016-06-26,6260707.0,6171392630.0,579.0,1005.0,935.0,986.0,1005.0,958.0
2016-06-28,4392178.0,4540952763.0,418.0,1035.0,1020.0,1034.0,1033.0,986.0
2016-06-29,4192460.0,4288772873.0,487.0,1059.0,1000.0,1023.0,1020.0,1034.0
2016-07-02,2568848.0,2586806606.0,284.0,1029.0,995.0,1007.0,1000.0,1023.0
2016-07-03,2704879.0,2738721196.0,323.0,1040.0,998.0,1013.0,1001.0,1007.0
2016-07-04,3148848.0,3047943374.0,363.0,1000.0,963.0,968.0,963.0,1013.0
2016-07-05,1805331.0,1754544985.0,207.0,984.0,961.0,972.0,973.0,968.0
2016-07-09,1342730.0,1273593513.0,179.0,971.0,935.0,949.0,943.0,972.0
2016-07-10,1300155.0,1229769605.0,160.0,970.0,934.0,946.0,936.0,949.0
2016-07-11,1620934.0,1501234754.0,216.0,948.0,911.0,926.0,920.0,946.0
2016-07-12,3321322.0,3004928876.0,386.0,943.0,890.0,905.0,897.0,926.0
2016-07-13,1214351.0,1106905309.0,161.0,923.0,900.0,912.0,910.0,905.0
2016-07-16,5467421.0,4972936080.0,484.0,934.0,880.0,910.0,880.0,912.0
2016-07-17,3842627.0,3610501846.0,421.0,955.0,917.0,940.0,928.0,910.0
2016-07-18,2051935.0,1860147547.0,209.0,938.0,900.0,907.0,913.0,940.0
2016-07-19,2342663.0,2130849590.0,247.0,920.0,895.0,910.0,914.0,907.0
2016-07-20,2301717.0,2145056720.0,267.0,938.0,920.0,932.0,928.0,910.0
2016-07-23,4627994.0,4511151086.0,442.0,978.0,950.0,975.0,978.0,932.0
2016-07-24,6441217.0,6327185008.0,641.0,1019.0,956.0,982.0,968.0,975.0
2016-07-25,4055582.0,3889912345.0,446.0,980.0,935.0,959.0,940.0,982.0
2016-07-26,1269510.0,1188004867.0,186.0,943.0,933.0,936.0,934.0,959.0
2016-07-27,1575801.0,1493823001.0,187.0,958.0,935.0,948.0,948.0,936.0
2016-07-31,2002228.0,1896294870.0,255.0,970.0,933.0,947.0,936.0,948.0
2016-08-01,2805766.0,2582735968.0,299.0,935.0,911.0,921.0,919.0,947.0
2016-08-02,2975559.0,2727934677.0,315.0,939.0,902.0,917.0,920.0,921.0
