,Date,Trend
0,2015-08-09,24
1,2015-08-16,27
2,2015-08-23,18
3,2015-08-30,18
4,2015-09-06,9
5,2015-09-13,14
6,2015-09-20,13
7,2015-09-27,17
8,2015-10-04,8
9,2015-10-11,9
10,2015-10-18,21
11,2015-10-25,31
12,2015-11-01,17
13,2015-11-08,13
14,2015-11-15,11
15,2015-11-22,17
16,2015-11-29,17
17,2015-12-06,11
18,2015-12-13,38
19,2015-12-20,10
20,2015-12-27,19
21,2016-01-03,18
22,2016-01-10,9
23,2016-01-17,15
24,2016-01-24,49
25,2016-01-31,13
26,2016-02-07,13
27,2016-02-14,9
28,2016-02-21,40
29,2016-02-28,26
30,2016-03-06,13
31,2016-03-13,17
32,2016-03-20,18
33,2016-03-27,15
34,2016-04-03,26
35,2016-04-10,13
36,2016-04-17,100
37,2016-04-24,9
38,2016-05-01,98
39,2016-05-08,9
40,2016-05-15,21
41,2016-05-22,18
42,2016-05-29,23
43,2016-06-05,12
44,2016-06-12,31
45,2016-06-19,9
46,2016-06-26,12
47,2016-07-03,13
48,2016-07-10,19
49,2016-07-17,9
50,2016-07-24,28
51,2016-07-31,19
52,2016-08-07,15
53,2016-08-14,23
54,2016-08-21,19
55,2016-08-28,25
56,2016-09-04,22
57,2016-09-11,18
58,2016-09-18,18
59,2016-09-25,18
60,2016-10-02,18
61,2016-10-09,27
62,2016-10-16,33
63,2016-10-23,13
64,2016-10-30,15
65,2016-11-06,20
66,2016-11-13,15
67,2016-11-20,17
68,2016-11-27,25
69,2016-12-04,21
70,2016-12-11,17
71,2016-12-18,9
72,2016-12-25,14
73,2017-01-01,26
74,2017-01-08,12
75,2017-01-15,19
76,2017-01-22,30
77,2017-01-29,24
78,2017-02-05,8
79,2017-02-12,27
80,2017-02-19,19
81,2017-02-26,16
82,2017-03-05,12
83,2017-03-12,20
84,2017-03-19,16
85,2017-03-26,19
86,2017-04-02,12
87,2017-04-09,13
88,2017-04-16,11
89,2017-04-23,12
90,2017-04-30,19
91,2017-05-07,16
92,2017-05-14,17
93,2017-05-21,23
94,2017-05-28,29
95,2017-06-04,14
96,2017-06-11,12
97,2017-06-18,20
98,2017-06-25,18
99,2017-07-02,15
100,2017-07-09,21
101,2017-07-16,18
102,2017-07-23,17
103,2017-07-30,11
104,2017-08-06,20
105,2017-08-13,11
106,2017-08-20,11
107,2017-08-27,13
108,2017-09-03,8
109,2017-09-10,8
110,2017-09-17,19
111,2017-09-24,8
112,2017-10-01,17
113,2017-10-08,16
114,2017-10-15,22
115,2017-10-22,20
116,2017-10-29,22
117,2017-11-05,29
118,2017-11-12,19
119,2017-11-19,16
120,2017-11-26,8
121,2017-12-03,16
122,2017-12-10,12
123,2017-12-17,14
124,2017-12-24,9
125,2017-12-31,0
126,2018-01-07,21
127,2018-01-14,15
128,2018-01-21,8
129,2018-01-28,15
130,2018-02-04,13
