,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,Feel
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186595820550897664,186595820550897664,1333322885000,2012-04-02,03:58:05,430,419642947,bo3amer1,عبداللطيف العواد,,"“@Bakr_alenezi: #ديناااااالي”

#سيلام",[],[],[],0,0,0,"['#ديناااااالي', '#سيلام']",[],https://twitter.com/bo3amer1/status/186595820550897664,False,,0,,,,,,,"[{'user_id': '419642947', 'username': 'bo3amer1'}]",,,,,0.9912850856781006
1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,281143096685756417,281143096685756417,1355864712000,2012-12-19,00:35:12,430,588796827,desouky33,Ahmed El Desouky ®🇪🇬,,ما يجيى ينادى اسمك من حلاوته يدوب فى لسانه ................ #بيجد يا #سيلام #موجهه,[],[],[],0,0,0,"['#بيجد', '#سيلام', '#موجهه']",[],https://twitter.com/Desouky33/status/281143096685756417,False,,0,,,,,,,"[{'user_id': '588796827', 'username': 'Desouky33'}]",,,,,0.9912850856781006
2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,298413488613765121,298413488613765121,1359982294000,2013-02-04,16:21:34,430,1022679584,khanoomjooni,خانوم جون,,بعد یه هفته اومدم:) زشت نباشه یه وخ دی اکتیو نکرده بودم ...برید کنار بینم که خانوم جون اومد :)) #سیلام,[],[],[],1,1,7,['#سیلام'],[],https://twitter.com/khanoomjooni/status/298413488613765121,False,,0,,,,,,,"[{'user_id': '1022679584', 'username': 'khanoomjooni'}]",,,,,0.9912850856781006
3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,298527978743271424,298527978743271424,1360009591000,2013-02-04,23:56:31,430,1022679584,khanoomjooni,خانوم جون,,برید کنار خانوم جون با طبق طبق آنفالو و ورژن جدید اومد =)) #سیلام,[],[],[],0,0,6,['#سیلام'],[],https://twitter.com/khanoomjooni/status/298527978743271424,False,,0,,,,,,,"[{'user_id': '1022679584', 'username': 'khanoomjooni'}]",,,,,0.9912850856781006
4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,324979316897218560,324979316897218560,1366316081000,2013-04-19,00:44:41,430,1022679584,khanoomjooni,خانوم جون,,یه عدد ساعت 4 مسافر هستم که اومدم براتون آلت شعر تفت بدم یه کم ^_^ #سیلام,[],[],[],2,0,4,['#سیلام'],[],https://twitter.com/khanoomjooni/status/324979316897218560,False,,0,,,,,,,"[{'user_id': '1022679584', 'username': 'khanoomjooni'}]",,,,,0.9912850856781006
5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,357520927711444994,357520927711444994,1374074606000,2013-07-17,19:53:26,430,1596706286,sspplee35,طاؤوس /,,أحسن شي اليوم إن الإخوان والأب راحوا يفطرون برى الله يعدي عنهم ويعافي عمتي العزيزة اللي شالت همهم..#سيلام,[],[],[],0,0,0,['#سيلام'],[],https://twitter.com/sspplee35/status/357520927711444994,False,,0,,,,,,,"[{'user_id': '1596706286', 'username': 'sspplee35'}]",,,,,0.9912850856781006
6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,386799552323276801,386799552323276801,1381055174000,2013-10-06,13:56:14,430,1682726306,sarollferi,فرفری,,"یـــک عدد نـــاهار نخـــورده ی خستـــه عستم :||
#سیـــــــــــــلام",[],[],[],0,0,8,['#سیـــــــــــــلام'],[],https://twitter.com/Sarollferi/status/386799552323276801,False,,0,,,,,,,"[{'user_id': '1682726306', 'username': 'Sarollferi'}]",,,,,0.9912850856781006
7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,392652917766762496,392652917766762496,1382450725000,2013-10-22,17:35:25,430,1682726306,sarollferi,فرفری,,"خیــــلی میخـــوام جلو خودمـــو بگیرم اواتار عوض نکـــنم ولی نمیشه =))
#سیـــــــــــــــــــــــــــــلام",[],[],[],0,0,9,['#سیـــــــــــــــــــــــــــــلام'],[],https://twitter.com/Sarollferi/status/392652917766762496,False,,0,,,,,,,"[{'user_id': '1682726306', 'username': 'Sarollferi'}]",,,,,0.9912850856781006
8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,404168671850795008,404168671850795008,1385196295000,2013-11-23,12:14:55,430,765420204,m_iii_r,💨م̶ی̶ر̶🌬,,راستی #سیلام . . . !!!,[],[],[],0,0,5,['#سیلام'],[],https://twitter.com/M_iii_R/status/404168671850795008,False,,0,,,,,,,"[{'user_id': '765420204', 'username': 'M_iii_R'}]",,,,,0.9912850856781006
9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,404598750640750592,404598750640750592,1385298833000,2013-11-24,16:43:53,430,765420204,m_iii_r,💨م̶ی̶ر̶🌬,,راستی #سیلام . . . !!!,[],[],[],0,0,9,['#سیلام'],[],https://twitter.com/M_iii_R/status/404598750640750592,False,,0,,,,,,,"[{'user_id': '765420204', 'username': 'M_iii_R'}]",,,,,0.9912850856781006
