,Date,Trend
0,2015-08-09,5
1,2015-08-16,5
2,2015-08-23,3
3,2015-08-30,8
4,2015-09-06,0
5,2015-09-13,0
6,2015-09-20,3
7,2015-09-27,0
8,2015-10-04,3
9,2015-10-11,5
10,2015-10-18,4
11,2015-10-25,3
12,2015-11-01,0
13,2015-11-08,2
14,2015-11-15,7
15,2015-11-22,5
16,2015-11-29,5
17,2015-12-06,2
18,2015-12-13,5
19,2015-12-20,3
20,2015-12-27,3
21,2016-01-03,0
22,2016-01-10,3
23,2016-01-17,3
24,2016-01-24,5
25,2016-01-31,12
26,2016-02-07,8
27,2016-02-14,4
28,2016-02-21,5
29,2016-02-28,3
30,2016-03-06,0
31,2016-03-13,3
32,2016-03-20,3
33,2016-03-27,5
34,2016-04-03,6
35,2016-04-10,13
36,2016-04-17,5
37,2016-04-24,4
38,2016-05-01,11
39,2016-05-08,4
40,2016-05-15,4
41,2016-05-22,3
42,2016-05-29,4
43,2016-06-05,4
44,2016-06-12,3
45,2016-06-19,5
46,2016-06-26,8
47,2016-07-03,3
48,2016-07-10,3
49,2016-07-17,6
50,2016-07-24,8
51,2016-07-31,0
52,2016-08-07,4
53,2016-08-14,3
54,2016-08-21,3
55,2016-08-28,5
56,2016-09-04,4
57,2016-09-11,3
58,2016-09-18,3
59,2016-09-25,5
60,2016-10-02,5
61,2016-10-09,8
62,2016-10-16,9
63,2016-10-23,4
64,2016-10-30,3
65,2016-11-06,6
66,2016-11-13,5
67,2016-11-20,8
68,2016-11-27,5
69,2016-12-04,7
70,2016-12-11,4
71,2016-12-18,5
72,2016-12-25,3
73,2017-01-01,0
74,2017-01-08,4
75,2017-01-15,4
76,2017-01-22,5
77,2017-01-29,5
78,2017-02-05,4
79,2017-02-12,10
80,2017-02-19,0
81,2017-02-26,4
82,2017-03-05,2
83,2017-03-12,2
84,2017-03-19,5
85,2017-03-26,2
86,2017-04-02,2
87,2017-04-09,3
88,2017-04-16,6
89,2017-04-23,5
90,2017-04-30,2
91,2017-05-07,7
92,2017-05-14,0
93,2017-05-21,8
94,2017-05-28,3
95,2017-06-04,5
96,2017-06-11,8
97,2017-06-18,3
98,2017-06-25,4
99,2017-07-02,3
100,2017-07-09,4
101,2017-07-16,4
102,2017-07-23,4
103,2017-07-30,5
104,2017-08-06,4
105,2017-08-13,3
106,2017-08-20,4
107,2017-08-27,8
108,2017-09-03,0
109,2017-09-10,12
110,2017-09-17,2
111,2017-09-24,2
112,2017-10-01,2
113,2017-10-08,2
114,2017-10-15,6
115,2017-10-22,2
116,2017-10-29,2
117,2017-11-05,5
118,2017-11-12,2
119,2017-11-19,0
120,2017-11-26,2
121,2017-12-03,0
122,2017-12-10,2
123,2017-12-17,6
124,2017-12-24,0
125,2017-12-31,2
126,2018-01-07,5
127,2018-01-14,5
128,2018-01-21,2
129,2018-01-28,9
130,2018-02-04,6
131,2018-02-11,3
132,2018-02-18,2
133,2018-02-25,3
134,2018-03-04,2
135,2018-03-11,3
136,2018-03-18,2
137,2018-03-25,5
138,2018-04-01,2
139,2018-04-08,7
140,2018-04-15,0
141,2018-04-22,7
142,2018-04-29,3
143,2018-05-06,2
144,2018-05-13,5
145,2018-05-20,5
146,2018-05-27,0
147,2018-06-03,3
148,2018-06-10,4
149,2018-06-17,5
150,2018-06-24,8
151,2018-07-01,5
152,2018-07-08,2
153,2018-07-15,7
154,2018-07-22,2
155,2018-07-29,2
156,2018-08-05,7
157,2018-08-12,5
158,2018-08-19,2
159,2018-08-26,2
160,2018-09-02,2
161,2018-09-09,8
162,2018-09-16,2
163,2018-09-23,7
164,2018-09-30,13
165,2018-10-07,2
166,2018-10-14,9
167,2018-10-21,7
168,2018-10-28,5
169,2018-11-04,6
170,2018-11-11,6
171,2018-11-18,3
172,2018-11-25,3
173,2018-12-02,2
174,2018-12-09,7
175,2018-12-16,5
176,2018-12-23,3
177,2018-12-30,10
178,2019-01-06,2
179,2019-01-13,7
180,2019-01-20,4
181,2019-01-27,3
182,2019-02-03,3
183,2019-02-10,8
184,2019-02-17,2
185,2019-02-24,2
186,2019-03-03,2
187,2019-03-10,2
188,2019-03-17,4
189,2019-03-24,7
190,2019-03-31,4
191,2019-04-07,6
192,2019-04-14,9
193,2019-04-21,7
194,2019-04-28,9
195,2019-05-05,9
196,2019-05-12,22
197,2019-05-19,21
198,2019-05-26,21
199,2019-06-02,14
200,2019-06-09,20
201,2019-06-16,21
202,2019-06-23,25
203,2019-06-30,28
204,2019-07-07,30
205,2019-07-14,30
206,2019-07-21,25
207,2019-07-28,23
208,2019-08-04,21
209,2019-08-11,26
210,2019-08-18,21
211,2019-08-25,18
212,2019-09-01,8
213,2019-09-08,20
214,2019-09-15,21
215,2019-09-22,29
216,2019-09-29,32
217,2019-10-06,36
218,2019-10-13,30
219,2019-10-20,20
220,2019-10-27,11
221,2019-11-03,26
222,2019-11-10,21
223,2019-11-17,0
224,2019-11-24,12
225,2019-12-01,18
226,2019-12-08,24
227,2019-12-15,30
228,2019-12-22,25
229,2019-12-29,39
230,2020-01-05,11
231,2020-01-12,29
232,2020-01-19,31
233,2020-01-26,52
234,2020-02-02,53
235,2020-02-09,30
236,2020-02-16,39
237,2020-02-23,51
238,2020-03-01,46
239,2020-03-08,39
240,2020-03-15,17
241,2020-03-22,22
242,2020-03-29,28
243,2020-04-05,42
244,2020-04-12,51
245,2020-04-19,46
246,2020-04-26,59
247,2020-05-03,57
248,2020-05-10,52
249,2020-05-17,63
250,2020-05-24,44
251,2020-05-31,36
252,2020-06-07,58
253,2020-06-14,59
254,2020-06-21,75
255,2020-06-28,91
256,2020-07-05,85
257,2020-07-12,100
258,2020-07-19,75
259,2020-07-26,72
260,2020-08-02,75
