Date,Volume,Price,Trades,High,Low,Open,Close,Open-shifted
2016-02-20,4832654.0,7041176878.0,294.0,1457.0,1457.0,1457.0,1457.0,1388.0
2016-02-21,1033283.0,1579889707.0,70.0,1529.0,1529.0,1529.0,1529.0,1457.0
2016-02-22,194419.0,312042495.0,20.0,1605.0,1605.0,1570.0,1605.0,1529.0
2016-02-23,470182.0,774859936.0,36.0,1648.0,1648.0,1648.0,1648.0,1570.0
2016-02-24,282231.0,488259630.0,31.0,1730.0,1730.0,1712.0,1730.0,1648.0
2016-02-27,27250.0,48968250.0,15.0,1797.0,1797.0,1720.0,1797.0,1712.0
2016-02-28,234901.0,424231206.0,28.0,1806.0,1806.0,1789.0,1806.0,1720.0
2016-02-29,19764931.0,37037689554.0,1517.0,1878.0,1810.0,1874.0,1878.0,1789.0
2016-03-01,4428525.0,8576823588.0,400.0,1967.0,1890.0,1937.0,1967.0,1874.0
2016-03-02,1180840.0,2400647720.0,116.0,2033.0,2033.0,2033.0,2033.0,1937.0
2016-03-05,15184896.0,31479384958.0,1914.0,2134.0,1941.0,2073.0,1980.0,2033.0
2016-03-06,644222.0,1271772955.0,82.0,1990.0,1970.0,1974.0,1970.0,2073.0
2016-03-07,8397597.0,16616840152.0,1022.0,2070.0,1877.0,1979.0,2050.0,1974.0
2016-03-08,3252836.0,6377018968.0,444.0,2065.0,1901.0,1960.0,1950.0,1979.0
2016-03-09,5116867.0,10467650810.0,575.0,2058.0,1953.0,2046.0,2002.0,1960.0
2016-03-12,3892432.0,7613733256.0,537.0,2000.0,1944.0,1956.0,1948.0,2046.0
2016-03-14,2654361.0,5041614493.0,392.0,1979.0,1860.0,1899.0,1862.0,1956.0
2016-03-15,2682975.0,5153731276.0,367.0,1968.0,1866.0,1921.0,1890.0,1899.0
2016-03-16,1611007.0,3126297725.0,234.0,1977.0,1889.0,1941.0,1940.0,1921.0
2016-03-26,818366.0,1613062097.0,149.0,2020.0,1881.0,1971.0,1945.0,1941.0
2016-03-27,1183787.0,2388338549.0,290.0,2049.0,1960.0,2018.0,2020.0,1971.0
2016-03-28,3682250.0,7741264882.0,514.0,2118.0,2020.0,2102.0,2073.0,2018.0
2016-03-29,2347445.0,4702588650.0,372.0,2118.0,1997.0,2003.0,1997.0,2102.0
2016-03-30,1537185.0,2981647018.0,239.0,2000.0,1926.0,1940.0,1954.0,2003.0
2016-04-02,1367454.0,2754826644.0,209.0,2036.0,1952.0,2015.0,2000.0,1940.0
2016-04-03,2050091.0,4101043565.0,327.0,2065.0,1940.0,2000.0,1940.0,2015.0
2016-04-04,939635.0,1829798561.0,136.0,2000.0,1902.0,1947.0,1935.0,2000.0
2016-04-05,1436964.0,2801763330.0,306.0,1995.0,1900.0,1950.0,1949.0,1947.0
2016-04-06,1488583.0,2949767560.0,221.0,2000.0,1930.0,1982.0,1952.0,1950.0
2016-04-09,873609.0,1705190025.0,109.0,2000.0,1941.0,1952.0,1941.0,1982.0
2016-04-10,3412937.0,6926462518.0,412.0,2049.0,1960.0,2029.0,2049.0,1952.0
2016-04-27,2306197.0,4361632027.0,251.0,1940.0,1860.0,1891.0,1872.0,2029.0
2016-04-30,1581903.0,2897510578.0,179.0,1900.0,1810.0,1832.0,1820.0,1891.0
2016-05-01,2572257.0,4517345527.0,281.0,1804.0,1741.0,1756.0,1741.0,1832.0
2016-05-02,2849159.0,4802059252.0,403.0,1729.0,1669.0,1685.0,1726.0,1756.0
2016-05-03,1162867.0,1984512774.0,163.0,1738.0,1675.0,1707.0,1720.0,1685.0
2016-05-04,459009.0,792831231.0,77.0,1750.0,1711.0,1727.0,1740.0,1707.0
2016-05-07,213342.0,369245703.0,77.0,1744.0,1700.0,1730.0,1741.0,1727.0
2016-05-08,359537.0,605222084.0,51.0,1749.0,1670.0,1683.0,1675.0,1730.0
2016-05-09,1050770.0,1756392591.0,88.0,1729.0,1660.0,1672.0,1699.0,1683.0
2016-05-10,2031753.0,3514338603.0,207.0,1755.0,1640.0,1730.0,1755.0,1672.0
2016-05-11,1677753.0,2923239507.0,248.0,1815.0,1660.0,1742.0,1677.0,1730.0
2016-05-14,1260176.0,2093600182.0,159.0,1697.0,1655.0,1661.0,1665.0,1742.0
2016-05-15,1126365.0,1920952640.0,156.0,1739.0,1671.0,1705.0,1688.0,1661.0
2016-05-16,749147.0,1316715544.0,123.0,1788.0,1722.0,1758.0,1784.0,1705.0
2016-05-17,1330398.0,2280987515.0,165.0,1798.0,1690.0,1715.0,1701.0,1758.0
2016-05-18,273879.0,461760215.0,48.0,1740.0,1680.0,1687.0,1683.0,1715.0
2016-05-21,263168.0,451934438.0,38.0,1765.0,1700.0,1714.0,1711.0,1687.0
2016-05-23,237819.0,397951332.0,65.0,1728.0,1660.0,1681.0,1665.0,1714.0
2016-05-24,597467.0,1020948715.0,171.0,1750.0,1674.0,1709.0,1710.0,1681.0
2016-05-25,250654.0,426399520.0,70.0,1750.0,1685.0,1702.0,1687.0,1709.0
2016-05-28,251289.0,430102487.0,45.0,1730.0,1681.0,1710.0,1691.0,1702.0
2016-05-29,881316.0,1548653634.0,143.0,1789.0,1690.0,1757.0,1742.0,1710.0
2016-05-30,334019.0,584925881.0,59.0,1789.0,1722.0,1751.0,1749.0,1757.0
2016-05-31,243564.0,417871494.0,37.0,1749.0,1704.0,1722.0,1704.0,1751.0
2016-06-01,999401.0,1698424360.0,121.0,1710.0,1686.0,1699.0,1700.0,1722.0
2016-06-05,642469.0,1142872947.0,90.0,1783.0,1749.0,1779.0,1783.0,1699.0
2016-06-06,1019524.0,1903432709.0,85.0,1867.0,1866.0,1867.0,1867.0,1779.0
2016-06-07,1795834.0,3352654935.0,279.0,1954.0,1784.0,1867.0,1802.0,1867.0
2016-06-08,495645.0,886246010.0,83.0,1830.0,1774.0,1788.0,1774.0,1867.0
2016-06-11,580652.0,1010289903.0,81.0,1850.0,1702.0,1740.0,1704.0,1788.0
2016-06-12,676283.0,1142180721.0,73.0,1770.0,1655.0,1689.0,1680.0,1740.0
2016-06-13,728398.0,1190879491.0,77.0,1685.0,1612.0,1635.0,1628.0,1689.0
2016-06-14,701797.0,1195798489.0,127.0,1716.0,1642.0,1704.0,1670.0,1635.0
2016-06-15,267930.0,439335312.0,48.0,1716.0,1630.0,1642.0,1641.0,1704.0
2016-06-18,122366.0,199057010.0,31.0,1686.0,1610.0,1636.0,1610.0,1642.0
2016-06-19,281406.0,446807552.0,45.0,1613.0,1561.0,1591.0,1562.0,1636.0
2016-06-20,162542.0,251770280.0,43.0,1561.0,1521.0,1569.0,1521.0,1591.0
2016-06-21,535555.0,803740612.0,85.0,1525.0,1491.0,1501.0,1491.0,1569.0
2016-06-22,282995.0,430713156.0,58.0,1555.0,1500.0,1520.0,1555.0,1501.0
2016-06-25,458217.0,728645706.0,69.0,1596.0,1526.0,1590.0,1596.0,1520.0
2016-06-26,631888.0,980852244.0,84.0,1600.0,1526.0,1552.0,1530.0,1590.0
2016-06-28,289742.0,455947608.0,55.0,1620.0,1550.0,1571.0,1620.0,1552.0
2016-06-29,993149.0,1626637541.0,167.0,1649.0,1582.0,1638.0,1625.0,1571.0
2016-07-02,1404533.0,2409011626.0,143.0,1719.0,1669.0,1715.0,1719.0,1638.0
2016-07-03,505591.0,877100188.0,141.0,1780.0,1690.0,1735.0,1740.0,1715.0
2016-07-04,507064.0,852354711.0,87.0,1783.0,1649.0,1681.0,1649.0,1735.0
2016-07-05,246824.0,411077445.0,40.0,1700.0,1630.0,1668.0,1651.0,1681.0
2016-07-09,260036.0,418813794.0,50.0,1699.0,1590.0,1618.0,1590.0,1668.0
2016-07-10,503548.0,795378829.0,68.0,1690.0,1566.0,1580.0,1623.0,1618.0
2016-07-11,259715.0,406393074.0,33.0,1611.0,1558.0,1567.0,1560.0,1580.0
2016-07-12,259349.0,405857068.0,42.0,1638.0,1550.0,1565.0,1550.0,1567.0
2016-07-13,200145.0,303126589.0,32.0,1550.0,1500.0,1531.0,1532.0,1565.0
2016-07-25,377197.0,598240135.0,67.0,1629.0,1580.0,1586.0,1585.0,1531.0
2016-07-26,811528.0,1333820880.0,101.0,1665.0,1590.0,1644.0,1665.0,1586.0
2016-07-27,616267.0,1026082831.0,81.0,1724.0,1622.0,1665.0,1646.0,1644.0
2016-07-31,933908.0,1582652419.0,140.0,1730.0,1640.0,1695.0,1705.0,1665.0
2016-08-01,1201637.0,2078779871.0,150.0,1778.0,1690.0,1730.0,1718.0,1695.0
2016-08-02,773974.0,1293271517.0,92.0,1720.0,1653.0,1671.0,1660.0,1730.0
2016-08-03,136386.0,222532047.0,32.0,1685.0,1600.0,1653.0,1658.0,1671.0
2016-08-06,289470.0,484575043.0,57.0,1698.0,1650.0,1673.0,1680.0,1653.0
2016-08-07,282918.0,469640802.0,56.0,1700.0,1625.0,1661.0,1673.0,1673.0
2016-08-08,519022.0,884460401.0,75.0,1740.0,1630.0,1704.0,1678.0,1661.0
2016-08-09,598974.0,1028664382.0,102.0,1750.0,1693.0,1717.0,1736.0,1704.0
2016-08-10,555991.0,967183457.0,107.0,1770.0,1700.0,1740.0,1740.0,1717.0
