Date,Volume,Price,Trades,High,Low,Open,Close,Open-shifted
2018-02-06,99996226.0,272989696980.0,159496.0,2730.0,2730.0,2730.0,2730.0,1000.0
2018-02-07,411475.0,1179287350.0,130.0,2866.0,2866.0,2866.0,2866.0,2730.0
2018-02-10,410531.0,1235287779.0,326.0,3009.0,3009.0,3009.0,3009.0,2866.0
2018-02-12,410789.0,1297682451.0,704.0,3159.0,3159.0,3159.0,3159.0,3009.0
2018-02-13,387612.0,1285321392.0,312.0,3316.0,3316.0,3311.0,3316.0,3159.0
2018-02-14,4649622.0,16836650267.0,7558.0,3649.0,3476.0,3621.0,3649.0,3311.0
2018-02-17,47495072.0,180576227262.0,33375.0,3802.0,3801.0,3802.0,3802.0,3621.0
2018-02-18,41502126.0,157126205716.0,58555.0,3869.0,3701.0,3786.0,3725.0,3802.0
2018-02-19,13797570.0,50453795123.0,17390.0,3735.0,3631.0,3657.0,3634.0,3786.0
2018-02-21,8309649.0,30290853881.0,6824.0,3750.0,3602.0,3645.0,3633.0,3657.0
2018-02-24,12397475.0,43808225016.0,7878.0,3650.0,3481.0,3534.0,3524.0,3645.0
2018-02-25,10733819.0,37786714254.0,7393.0,3639.0,3425.0,3520.0,3580.0,3534.0
2018-02-26,4547628.0,16203649832.0,2889.0,3642.0,3530.0,3563.0,3540.0,3520.0
2018-02-27,4690321.0,16452072671.0,2057.0,3556.0,3485.0,3508.0,3520.0,3563.0
2018-02-28,6525656.0,22508270340.0,2890.0,3520.0,3420.0,3449.0,3421.0,3508.0
2018-03-03,8298397.0,27721758793.0,3333.0,3432.0,3303.0,3341.0,3318.0,3449.0
2018-03-04,5240738.0,17159956854.0,3148.0,3330.0,3250.0,3274.0,3253.0,3341.0
2018-03-05,5378529.0,17918844401.0,2503.0,3400.0,3220.0,3332.0,3304.0,3274.0
2018-03-06,3276363.0,10729832364.0,2617.0,3353.0,3228.0,3275.0,3247.0,3332.0
2018-03-07,5341912.0,16943076007.0,4874.0,3228.0,3151.0,3172.0,3163.0,3275.0
2018-03-10,4611267.0,14336330678.0,2754.0,3160.0,3071.0,3109.0,3110.0,3172.0
2018-03-11,3417126.0,10791817574.0,1712.0,3198.0,3090.0,3158.0,3136.0,3109.0
2018-03-12,3304904.0,10155623066.0,2285.0,3147.0,3041.0,3073.0,3063.0,3158.0
2018-03-13,1877542.0,5756517648.0,1122.0,3102.0,3028.0,3066.0,3070.0,3073.0
2018-03-14,1686913.0,5176908408.0,809.0,3096.0,3030.0,3069.0,3068.0,3066.0
2018-03-17,2240635.0,7044010559.0,1292.0,3189.0,3090.0,3144.0,3140.0,3069.0
2018-03-18,2079498.0,6653295839.0,1101.0,3248.0,3112.0,3199.0,3233.0,3144.0
2018-03-19,1903102.0,6111611926.0,1471.0,3246.0,3163.0,3211.0,3217.0,3199.0
2018-03-25,843883.0,2692631036.0,658.0,3244.0,3155.0,3191.0,3203.0,3211.0
2018-03-26,1193152.0,3788511319.0,557.0,3243.0,3142.0,3175.0,3150.0,3191.0
2018-03-27,1718373.0,5376547707.0,487.0,3150.0,3118.0,3129.0,3132.0,3175.0
2018-03-28,812465.0,2551706763.0,472.0,3190.0,3115.0,3141.0,3141.0,3129.0
2018-04-03,1248518.0,3910241386.0,420.0,3150.0,3121.0,3132.0,3131.0,3141.0
2018-04-04,1437476.0,4483257182.0,628.0,3148.0,3080.0,3119.0,3127.0,3132.0
2018-04-07,1840317.0,5728091364.0,544.0,3127.0,3103.0,3113.0,3114.0,3119.0
2018-04-08,2243606.0,6864992050.0,734.0,3100.0,3034.0,3060.0,3080.0,3113.0
2018-04-09,2727850.0,8277032518.0,762.0,3063.0,3010.0,3034.0,3020.0,3060.0
2018-04-10,1005667.0,3094553160.0,630.0,3109.0,3050.0,3077.0,3055.0,3034.0
2018-04-11,3353606.0,9954729614.0,960.0,3068.0,2924.0,2968.0,2924.0,3077.0
2018-04-15,2361314.0,6797765192.0,650.0,2970.0,2852.0,2879.0,2890.0,2968.0
2018-04-16,1327301.0,3846587177.0,682.0,2929.0,2860.0,2898.0,2912.0,2879.0
2018-04-17,4112448.0,11921569665.0,1582.0,2950.0,2836.0,2899.0,2950.0,2898.0
2018-04-22,1385507.0,3370378018.0,531.0,2450.0,2412.0,2433.0,2449.0,2349.0
2018-04-23,552589.0,1350745179.0,253.0,2478.0,2412.0,2444.0,2421.0,2433.0
2018-04-24,1430858.0,3436917398.0,306.0,2433.0,2350.0,2402.0,2390.0,2444.0
2018-04-25,911321.0,2151279455.0,274.0,2401.0,2347.0,2361.0,2352.0,2402.0
2018-04-28,2527762.0,5794655135.0,393.0,2350.0,2250.0,2292.0,2270.0,2361.0
2018-04-29,757187.0,1692380459.0,328.0,2260.0,2215.0,2235.0,2223.0,2292.0
2018-04-30,735157.0,1622647144.0,329.0,2220.0,2200.0,2207.0,2202.0,2235.0
2018-05-01,952373.0,2119726808.0,267.0,2258.0,2191.0,2226.0,2258.0,2207.0
2018-05-05,352030.0,782797735.0,187.0,2265.0,2211.0,2224.0,2230.0,2226.0
2018-05-06,2126481.0,4576505359.0,362.0,2212.0,2125.0,2152.0,2164.0,2224.0
2018-05-07,1002300.0,2198374486.0,268.0,2219.0,2138.0,2193.0,2219.0,2152.0
2018-05-08,1249107.0,2758070676.0,258.0,2238.0,2179.0,2208.0,2190.0,2193.0
2018-05-09,1150898.0,2467151769.0,290.0,2170.0,2110.0,2144.0,2150.0,2208.0
2018-05-12,848212.0,1838501494.0,195.0,2199.0,2144.0,2168.0,2171.0,2144.0
2018-05-13,1345511.0,3027382000.0,404.0,2276.0,2163.0,2250.0,2276.0,2168.0
2018-05-14,1173681.0,2753869606.0,332.0,2362.0,2280.0,2346.0,2362.0,2250.0
2018-05-15,1350376.0,3182245284.0,368.0,2447.0,2290.0,2357.0,2300.0,2346.0
2018-05-16,3133235.0,7167507360.0,320.0,2330.0,2257.0,2288.0,2314.0,2357.0
2018-05-19,1107718.0,2636666943.0,287.0,2402.0,2289.0,2380.0,2402.0,2288.0
2018-05-20,6758721.0,16801618036.0,943.0,2499.0,2416.0,2486.0,2499.0,2380.0
2018-05-21,1499234.0,3785275515.0,517.0,2577.0,2480.0,2525.0,2500.0,2486.0
2018-05-22,1601165.0,3981366134.0,335.0,2546.0,2430.0,2487.0,2470.0,2525.0
2018-05-23,1016118.0,2514341923.0,321.0,2520.0,2433.0,2474.0,2433.0,2487.0
2018-05-26,1868280.0,4461256465.0,497.0,2440.0,2351.0,2388.0,2400.0,2474.0
2018-05-27,1017585.0,2481897437.0,283.0,2475.0,2384.0,2439.0,2435.0,2388.0
2018-05-28,361597.0,870392051.0,140.0,2447.0,2385.0,2410.0,2410.0,2439.0
2018-05-29,519936.0,1237713415.0,139.0,2419.0,2365.0,2381.0,2382.0,2410.0
2018-05-30,1244680.0,2984177803.0,282.0,2418.0,2371.0,2398.0,2383.0,2381.0
2018-06-02,1038775.0,2485187585.0,448.0,2413.0,2380.0,2392.0,2383.0,2398.0
2018-06-03,1745342.0,4201744813.0,911.0,2468.0,2381.0,2407.0,2400.0,2392.0
2018-06-09,2705617.0,6612751998.0,544.0,2480.0,2383.0,2444.0,2470.0,2407.0
