,Date,Trend
0,2015-08-09,0
1,2015-08-16,0
2,2015-08-23,0
3,2015-08-30,0
4,2015-09-06,0
5,2015-09-13,0
6,2015-09-20,0
7,2015-09-27,0
8,2015-10-04,0
9,2015-10-11,0
10,2015-10-18,7
11,2015-10-25,0
12,2015-11-01,0
13,2015-11-08,0
14,2015-11-15,0
15,2015-11-22,0
16,2015-11-29,0
17,2015-12-06,0
18,2015-12-13,0
19,2015-12-20,7
20,2015-12-27,0
21,2016-01-03,7
22,2016-01-10,7
23,2016-01-17,0
24,2016-01-24,0
25,2016-01-31,0
26,2016-02-07,0
27,2016-02-14,7
28,2016-02-21,0
29,2016-02-28,0
30,2016-03-06,0
31,2016-03-13,0
32,2016-03-20,0
33,2016-03-27,0
34,2016-04-03,14
35,2016-04-10,0
36,2016-04-17,0
37,2016-04-24,0
38,2016-05-01,0
39,2016-05-08,0
40,2016-05-15,7
41,2016-05-22,0
42,2016-05-29,0
43,2016-06-05,0
44,2016-06-12,0
45,2016-06-19,0
46,2016-06-26,7
47,2016-07-03,0
48,2016-07-10,0
49,2016-07-17,0
50,2016-07-24,0
51,2016-07-31,0
52,2016-08-07,0
53,2016-08-14,8
54,2016-08-21,8
55,2016-08-28,0
56,2016-09-04,0
57,2016-09-11,0
58,2016-09-18,7
59,2016-09-25,0
60,2016-10-02,14
61,2016-10-09,0
62,2016-10-16,0
63,2016-10-23,7
64,2016-10-30,7
65,2016-11-06,9
66,2016-11-13,7
67,2016-11-20,7
68,2016-11-27,7
69,2016-12-04,10
70,2016-12-11,17
71,2016-12-18,7
72,2016-12-25,7
73,2017-01-01,10
74,2017-01-08,10
75,2017-01-15,7
76,2017-01-22,10
77,2017-01-29,6
78,2017-02-05,0
79,2017-02-12,0
80,2017-02-19,6
81,2017-02-26,6
82,2017-03-05,6
83,2017-03-12,0
84,2017-03-19,0
85,2017-03-26,0
86,2017-04-02,0
87,2017-04-09,0
88,2017-04-16,6
89,2017-04-23,0
90,2017-04-30,6
91,2017-05-07,0
92,2017-05-14,0
93,2017-05-21,0
94,2017-05-28,0
95,2017-06-04,7
96,2017-06-11,7
97,2017-06-18,0
98,2017-06-25,0
99,2017-07-02,7
100,2017-07-09,0
101,2017-07-16,0
102,2017-07-23,0
103,2017-07-30,0
104,2017-08-06,0
105,2017-08-13,7
106,2017-08-20,0
107,2017-08-27,0
108,2017-09-03,7
109,2017-09-10,0
110,2017-09-17,0
111,2017-09-24,0
112,2017-10-01,0
113,2017-10-08,0
114,2017-10-15,0
115,2017-10-22,6
116,2017-10-29,0
117,2017-11-05,6
118,2017-11-12,9
119,2017-11-19,6
120,2017-11-26,6
121,2017-12-03,13
122,2017-12-10,0
123,2017-12-17,9
124,2017-12-24,7
125,2017-12-31,7
126,2018-01-07,6
127,2018-01-14,0
128,2018-01-21,9
129,2018-01-28,0
130,2018-02-04,12
131,2018-02-11,12
132,2018-02-18,6
133,2018-02-25,0
134,2018-03-04,6
135,2018-03-11,6
136,2018-03-18,6
137,2018-03-25,6
138,2018-04-01,10
139,2018-04-08,9
140,2018-04-15,0
141,2018-04-22,6
142,2018-04-29,15
143,2018-05-06,8
144,2018-05-13,8
145,2018-05-20,19
146,2018-05-27,6
147,2018-06-03,12
148,2018-06-10,16
149,2018-06-17,6
150,2018-06-24,6
151,2018-07-01,0
152,2018-07-08,6
153,2018-07-15,6
154,2018-07-22,6
155,2018-07-29,6
156,2018-08-05,0
157,2018-08-12,0
158,2018-08-19,0
159,2018-08-26,0
160,2018-09-02,6
161,2018-09-09,6
162,2018-09-16,12
163,2018-09-23,14
164,2018-09-30,9
165,2018-10-07,6
166,2018-10-14,12
167,2018-10-21,6
168,2018-10-28,6
169,2018-11-04,0
170,2018-11-11,6
171,2018-11-18,0
172,2018-11-25,12
173,2018-12-02,6
174,2018-12-09,0
175,2018-12-16,6
176,2018-12-23,7
177,2018-12-30,7
178,2019-01-06,9
179,2019-01-13,12
180,2019-01-20,12
181,2019-01-27,8
182,2019-02-03,0
183,2019-02-10,6
184,2019-02-17,6
185,2019-02-24,6
186,2019-03-03,6
187,2019-03-10,6
188,2019-03-17,0
189,2019-03-24,9
190,2019-03-31,6
191,2019-04-07,6
192,2019-04-14,12
193,2019-04-21,12
194,2019-04-28,12
195,2019-05-05,0
196,2019-05-12,16
197,2019-05-19,10
198,2019-05-26,15
199,2019-06-02,14
200,2019-06-09,14
201,2019-06-16,12
202,2019-06-23,8
203,2019-06-30,8
204,2019-07-07,9
205,2019-07-14,6
206,2019-07-21,24
207,2019-07-28,10
208,2019-08-04,15
209,2019-08-11,8
210,2019-08-18,23
211,2019-08-25,21
212,2019-09-01,17
213,2019-09-08,11
214,2019-09-15,14
215,2019-09-22,11
216,2019-09-29,8
217,2019-10-06,7
218,2019-10-13,6
219,2019-10-20,13
220,2019-10-27,8
221,2019-11-03,5
222,2019-11-10,11
223,2019-11-17,0
224,2019-11-24,14
225,2019-12-01,7
226,2019-12-08,11
227,2019-12-15,37
228,2019-12-22,20
229,2019-12-29,16
