Date,Volume,Price,Trades,High,Low,Open,Close,Open-shifted
2016-02-20,22334,48515278,9,2394.0,2167.0,2270.0,2171.0,2281.0
2016-02-21,30930,66716010,13,2157.0,2157.0,2254.0,2157.0,2270.0
2016-02-22,33040,70771680,16,2142.0,2142.0,2237.0,2142.0,2254.0
2016-02-23,3850,8185100,1,2126.0,2126.0,2235.0,2126.0,2237.0
2016-02-24,28330,60172920,7,2124.0,2124.0,2221.0,2124.0,2235.0
2016-02-27,135770,288758670,25,2150.0,2110.0,2164.0,2110.0,2221.0
2016-02-28,88784,182546304,16,2057.0,2056.0,2121.0,2056.0,2164.0
2016-02-29,60257,121447545,25,2020.0,2015.0,2093.0,2015.0,2121.0
2016-03-01,30689,61043621,17,1991.0,1989.0,2079.0,1989.0,2093.0
2016-03-02,7131,14090856,3,1976.0,1976.0,2076.0,1976.0,2079.0
2016-03-05,31106,61520218,20,2000.0,1973.0,2063.0,2000.0,2076.0
2016-03-06,587390,1151503500,68,2000.0,1960.0,1960.0,1960.0,2063.0
2016-03-07,108911,216552587,34,2055.0,1920.0,1973.0,1973.0,1960.0
2016-03-08,170472,324757367,55,1973.0,1875.0,1925.0,1875.0,1973.0
2016-03-09,37082,69535342,10,1900.0,1831.0,1917.0,1900.0,1925.0
2016-03-12,159886,292138528,53,1916.0,1822.0,1862.0,1822.0,1917.0
2016-03-14,146551,278848196,35,1940.0,1850.0,1885.0,1920.0,1862.0
2016-03-15,387138,724385981,62,1940.0,1854.0,1871.0,1857.0,1885.0
2016-03-16,321861,598926120,95,1900.0,1778.0,1861.0,1900.0,1871.0
2016-03-26,219410,410521783,35,1940.0,1850.0,1869.0,1850.0,1861.0
2016-03-27,45975,86342377,26,1950.0,1851.0,1871.0,1872.0,1869.0
2016-03-28,323706,627043341,86,1964.0,1840.0,1937.0,1942.0,1871.0
2016-03-29,68178,129533924,23,1999.0,1880.0,1928.0,1885.0,1937.0
2016-03-30,161846,314661870,35,1993.0,1891.0,1938.0,1993.0,1928.0
2016-04-02,102966,201606198,24,1993.0,1931.0,1946.0,1949.0,1938.0
2016-04-03,235200,476892299,79,2043.0,1950.0,2020.0,2010.0,1946.0
2016-04-04,259061,549399881,25,2121.0,2119.0,2121.0,2121.0,2020.0
2016-04-05,144851,322583177,27,2227.0,2227.0,2181.0,2227.0,2121.0
2016-04-06,779587,1761017383,138,2290.0,2101.0,2259.0,2220.0,2181.0
2016-04-09,130532,280442784,29,2260.0,2147.0,2194.0,2147.0,2259.0
2016-04-10,784024,1777972058,111,2303.0,2085.0,2268.0,2280.0,2194.0
2016-04-11,308609,669579054,48,2250.0,2155.0,2170.0,2200.0,2268.0
2016-04-12,126011,263179514,36,2160.0,2062.0,2124.0,2062.0,2170.0
2016-04-16,40647,82378244,10,2053.0,2018.0,2107.0,2018.0,2124.0
2016-04-17,248142,496963577,65,2020.0,2002.0,2003.0,2002.0,2107.0
2016-04-18,26420,54407250,13,2103.0,2000.0,2009.0,2055.0,2003.0
2016-04-19,200580,407437210,35,2108.0,2000.0,2028.0,2089.0,2009.0
2016-04-20,60756,124041732,27,2129.0,2010.0,2032.0,2060.0,2028.0
2016-04-23,163216,334506661,30,2080.0,2020.0,2044.0,2070.0,2032.0
2016-04-24,204000,414359960,15,2107.0,2030.0,2033.0,2030.0,2044.0
2016-04-25,24666,50177791,14,2050.0,2031.0,2033.0,2031.0,2033.0
2016-04-26,59323,117519354,19,2030.0,1933.0,2020.0,2020.0,2033.0
2016-04-27,212437,410697275,28,2030.0,1919.0,1945.0,2000.0,2020.0
2016-04-30,24494,48785048,9,2000.0,1952.0,1949.0,2000.0,1945.0
2016-05-01,284787,581983357,62,2046.0,2020.0,2044.0,2046.0,1949.0
2016-05-02,185031,374348055,41,2104.0,1951.0,2029.0,2104.0,2044.0
2016-05-03,119164,241825643,19,2032.0,1980.0,2029.0,1983.0,2029.0
2016-05-04,187556,389089956,43,2130.0,2003.0,2062.0,2014.0,2029.0
2016-05-07,120636,244334039,22,2065.0,2007.0,2044.0,2049.0,2062.0
2016-05-08,121017,244866244,29,2062.0,2000.0,2034.0,2000.0,2044.0
2016-05-09,110408,216075557,26,2030.0,1933.0,1999.0,1956.0,2034.0
2016-05-10,32385,63407081,16,1998.0,1941.0,1994.0,1996.0,1999.0
2016-05-11,239550,461931570,29,1932.0,1911.0,1929.0,1930.0,1994.0
2016-05-14,157240,304788530,27,1960.0,1890.0,1935.0,1955.0,1929.0
2016-05-15,3459,6735462,8,1950.0,1904.0,1935.0,1950.0,1935.0
