,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,Feel
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524893550430142464,524893550430142464,1413979349000,2014-10-22,15:32:29,430,2778040873,hibourse,hibourse,,"بیشترین کاهش قیمت:
#شپمچا  (11.65)
#دتماد  (4)
#ستران  (3.98)
#بشهاب  (3.98)
#كپشير  (3.96)
#سهگمت  (3.95)
#سشرق (۳.۸۷)
*****
#بورس #هایبورس",[],[],[],0,0,0,"['#شپمچا', '#دتماد', '#ستران', '#بشهاب', '#كپشير', '#سهگمت', '#سشرق', '#بورس', '#هایبورس']",[],https://twitter.com/hibourse/status/524893550430142464,False,,0,,,,,,,"[{'user_id': '2778040873', 'username': 'hibourse'}]",,,,,0.9912850856781006
1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,696257623121911808,696257623121911808,1454835727000,2016-02-07,12:32:07,430,2463165061,bourseiness,بورسینس,,گزارش 3 ماهه نماد “#سشرق” منتهی به 94/09/30: بورسینس دات‌کام: به گزارش بورسینس به نقل از…  http://goo.gl/fb/Ya7M1m ,[],['http://goo.gl/fb/Ya7M1m'],[],0,0,0,['#سشرق'],[],https://twitter.com/bourseiness/status/696257623121911808,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,700974200887058434,700974200887058434,1455960247000,2016-02-20,12:54:07,430,2463165061,bourseiness,بورسینس,,#سشرق آمار تولید و فروش مهرماه ۹۴  http://goo.gl/fb/WbvuvM  #اقتصاد #بورس,[],['http://goo.gl/fb/WbvuvM'],[],0,0,0,"['#سشرق', '#اقتصاد', '#بورس']",[],https://twitter.com/bourseiness/status/700974200887058434,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,701328524662206466,701328524662206466,1456044724000,2016-02-21,12:22:04,430,2463165061,bourseiness,بورسینس,,#سشرق آمار تولید و فروش آذرماه ۹۴  http://goo.gl/fb/wGXvCY  #اقتصاد #بورس,[],['http://goo.gl/fb/wGXvCY'],[],0,0,0,"['#سشرق', '#اقتصاد', '#بورس']",[],https://twitter.com/bourseiness/status/701328524662206466,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,703866856633925632,703866856633925632,1456649910000,2016-02-28,12:28:30,430,2463165061,bourseiness,بورسینس,,#سشرق در حال تلاش برای شکستن سقف کانال نزولی میانمدت خود به سر می…  http://goo.gl/fb/QryrXx  #اقتصاد,[],['http://goo.gl/fb/QryrXx'],[],0,0,0,"['#سشرق', '#اقتصاد']",[],https://twitter.com/bourseiness/status/703866856633925632,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,707432719924502528,707432719924502528,1457500078000,2016-03-09,08:37:58,430,2463165061,bourseiness,بورسینس,,#سشرق اعلاميه عدم پرداخت مبلغ حاصل از فروش حق تقدم استفاده نشده سهامداران  http://goo.gl/fb/hahhzS  #اقتصاد,[],['http://goo.gl/fb/hahhzS'],[],0,0,0,"['#سشرق', '#اقتصاد']",[],https://twitter.com/bourseiness/status/707432719924502528,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,713966902834388992,713966902834388992,1459057949000,2016-03-27,10:22:29,430,2463165061,bourseiness,بورسینس,,#سشرق  http://goo.gl/fb/MA2l1A  #اقتصاد,[],['http://goo.gl/fb/MA2l1A'],[],0,0,0,"['#سشرق', '#اقتصاد']",[],https://twitter.com/bourseiness/status/713966902834388992,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,714309649110024192,714309649110024192,1459139666000,2016-03-28,09:04:26,430,2463165061,bourseiness,بورسینس,,#سشرق » #9فروردین95  http://goo.gl/fb/cZBx79  #اقتصاد,[],['http://goo.gl/fb/cZBx79'],[],0,0,0,"['#سشرق', '#9فروردین95', '#اقتصاد']",[],https://twitter.com/bourseiness/status/714309649110024192,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,719773885881847809,719773885881847809,1460442441000,2016-04-12,10:57:21,430,2463165061,bourseiness,بورسینس,,بازگشايي نمادهاي معاملاتي #چكارن،#سشرق،#غپينو  http://goo.gl/fb/IHRq3P  #اقتصاد,[],['http://goo.gl/fb/IHRq3P'],[],0,0,0,"['#چكارن', '#سشرق', '#غپينو', '#اقتصاد']",[],https://twitter.com/bourseiness/status/719773885881847809,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,721214203487514624,721214203487514624,1460785840000,2016-04-16,10:20:40,430,2463165061,bourseiness,بورسینس,,#سشرق آمار تولید و فروش اسفند ماه ۹۴  http://goo.gl/fb/TEm0Cc  #اقتصاد,[],['http://goo.gl/fb/TEm0Cc'],[],0,0,0,"['#سشرق', '#اقتصاد']",[],https://twitter.com/bourseiness/status/721214203487514624,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
10,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,723775072004136960,723775072004136960,1461396398000,2016-04-23,11:56:38,430,2463165061,bourseiness,بورسینس,,صف خرید #سشرق تقاضا را در گروه سیمان اندکی تقویت کرده است  http://goo.gl/fb/4s4IYW  #اقتصاد,[],['http://goo.gl/fb/4s4IYW'],[],0,0,1,"['#سشرق', '#اقتصاد']",[],https://twitter.com/bourseiness/status/723775072004136960,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
11,11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,724087346216448000,724087346216448000,1461470850000,2016-04-24,08:37:30,430,2463165061,bourseiness,بورسینس,,#سشرق طی یک شفاف سازی اعلام نموده که گزارش توجیهی هیئت مدیره به منظور…  http://goo.gl/fb/x4XzNv  #اقتصاد,[],['http://goo.gl/fb/x4XzNv'],[],0,0,0,"['#سشرق', '#اقتصاد']",[],https://twitter.com/bourseiness/status/724087346216448000,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
