Date,Volume,Price,Trades,High,Low,Open,Close,Open-shifted
2016-02-20,5172675.0,24978276521.0,408.0,4870.0,4799.0,4829.0,4799.0,4834.0
2016-02-21,1502372.0,7074969738.0,347.0,4980.0,4652.0,4732.0,4700.0,4829.0
2016-02-27,3808018.0,17647675505.0,358.0,4740.0,4490.0,4634.0,4500.0,4222.0
2016-02-28,2502882.0,11243869369.0,477.0,4700.0,4403.0,4492.0,4440.0,4634.0
2016-02-29,628773.0,2748064543.0,131.0,4411.0,4350.0,4451.0,4370.0,4492.0
2016-03-01,826078.0,3591889325.0,134.0,4399.0,4321.0,4405.0,4330.0,4451.0
2016-03-02,598248.0,2572681575.0,113.0,4370.0,4272.0,4371.0,4297.0,4405.0
2016-03-05,562475.0,2427009275.0,135.0,4400.0,4200.0,4354.0,4250.0,4371.0
2016-03-06,637556.0,2679239293.0,181.0,4263.0,4170.0,4302.0,4200.0,4354.0
2016-03-07,716778.0,3032101052.0,131.0,4400.0,4103.0,4274.0,4190.0,4302.0
2016-03-08,3025333.0,12925688194.0,145.0,4380.0,4150.0,4272.0,4250.0,4274.0
2016-03-09,2856615.0,12175428459.0,165.0,4380.0,4150.0,4262.0,4160.0,4272.0
2016-03-12,1488400.0,6174830211.0,280.0,4299.0,4090.0,4171.0,4190.0,4262.0
2016-03-14,1026584.0,4362193691.0,257.0,4270.0,4190.0,4214.0,4200.0,4171.0
2016-03-15,499814.0,2088689985.0,162.0,4199.0,4152.0,4205.0,4152.0,4214.0
2016-03-16,465839.0,1909615393.0,138.0,4195.0,4025.0,4178.0,4145.0,4205.0
2016-03-26,199010.0,819575843.0,64.0,4180.0,4056.0,4172.0,4151.0,4178.0
2016-03-27,169035.0,701665489.0,62.0,4180.0,4111.0,4170.0,4170.0,4172.0
2016-03-28,439206.0,1826062202.0,95.0,4249.0,4122.0,4167.0,4245.0,4170.0
2016-03-29,467952.0,1963174169.0,121.0,4250.0,4115.0,4174.0,4116.0,4167.0
