Date,Volume,Price,Trades,High,Low,Open,Close,Open-shifted
2016-03-05,27273.0,68642700.0,14.0,2525.0,2300.0,2419.0,2525.0,2405.0
2016-03-06,45346.0,115095408.0,15.0,2539.0,2400.0,2444.0,2539.0,2419.0
2016-03-07,110172.0,282701352.0,25.0,2566.0,2566.0,2505.0,2566.0,2444.0
2016-03-08,1131754.0,2773518820.0,28.0,2630.0,2450.0,2451.0,2450.0,2505.0
2016-03-09,3000.0,7716000.0,1.0,2572.0,2572.0,2453.0,2572.0,2451.0
2016-03-12,37396.0,87579697.0,19.0,2440.0,2331.0,2434.0,2331.0,2453.0
2016-03-14,16537.0,39826100.0,11.0,2450.0,2313.0,2432.0,2450.0,2434.0
2016-03-15,20051.0,49297150.0,11.0,2500.0,2320.0,2434.0,2480.0,2432.0
2016-03-16,3550.0,8428000.0,5.0,2480.0,2320.0,2433.0,2320.0,2434.0
2016-03-26,1.0,2400.0,1.0,2400.0,2400.0,2433.0,2400.0,2433.0
2016-03-27,12041.0,29239130.0,8.0,2490.0,2400.0,2433.0,2400.0,2433.0
2016-03-28,4001.0,10180540.0,7.0,2549.0,2540.0,2435.0,2540.0,2433.0
2016-03-29,47497.0,121104362.0,23.0,2556.0,2500.0,2460.0,2556.0,2435.0
2016-03-30,21924.0,56393600.0,18.0,2583.0,2560.0,2471.0,2583.0,2460.0
2016-04-02,46014.0,119231351.0,26.0,2594.0,2589.0,2496.0,2594.0,2471.0
2016-04-03,117795.0,295188688.0,41.0,2620.0,2372.0,2501.0,2375.0,2496.0
2016-04-04,106148.0,278492125.0,19.0,2626.0,2401.0,2560.0,2626.0,2501.0
2016-04-05,129025.0,346819200.0,26.0,2688.0,2688.0,2635.0,2688.0,2560.0
2016-04-06,49871.0,133666435.0,17.0,2766.0,2640.0,2645.0,2640.0,2635.0
2016-04-09,20000.0,51600000.0,5.0,2640.0,2520.0,2639.0,2520.0,2645.0
2016-04-10,43256.0,112844216.0,8.0,2700.0,2600.0,2633.0,2630.0,2639.0
2016-04-11,25075.0,62835482.0,8.0,2598.0,2502.0,2619.0,2597.0,2633.0
2016-04-12,24684.0,61438476.0,6.0,2489.0,2489.0,2604.0,2489.0,2619.0
2016-04-13,9520.0,23589929.0,6.0,2481.0,2475.0,2599.0,2475.0,2604.0
2016-04-17,1200.0,3052800.0,1.0,2544.0,2544.0,2599.0,2544.0,2599.0
2016-04-18,44811.0,110684661.0,14.0,2471.0,2470.0,2573.0,2470.0,2599.0
2016-04-19,500.0,1222500.0,1.0,2445.0,2445.0,2573.0,2445.0,2573.0
