Date,Volume,Price,Trades,High,Low,Open,Close,Open-shifted
2016-02-20,8540,18284140,2,2141.0,2141.0,2249.0,2141.0,2253.0
2016-02-21,4657,9952009,1,2137.0,2137.0,2247.0,2137.0,2249.0
2016-02-22,38200,81557000,8,2135.0,2135.0,2231.0,2135.0,2247.0
2016-02-23,500,1060000,1,2120.0,2120.0,2231.0,2120.0,2231.0
2016-02-27,5654,11986480,5,2120.0,2120.0,2229.0,2120.0,2231.0
2016-02-28,17320,36683760,8,2118.0,2118.0,2222.0,2118.0,2229.0
2016-02-29,14200,29976200,2,2111.0,2111.0,2216.0,2111.0,2222.0
2016-03-07,54803,115415118,6,2106.0,2106.0,2194.0,2106.0,2216.0
2016-03-12,37450,78083250,11,2085.0,2085.0,2179.0,2085.0,2194.0
2016-03-14,10206,21136626,8,2071.0,2071.0,2175.0,2071.0,2179.0
2016-03-15,7000,14469000,3,2067.0,2067.0,2172.0,2067.0,2175.0
2016-03-16,502,1036128,1,2064.0,2064.0,2172.0,2064.0,2172.0
2016-03-26,8276,17081664,4,2064.0,2064.0,2169.0,2064.0,2172.0
2016-03-27,1500,3091500,2,2061.0,2061.0,2168.0,2061.0,2169.0
2016-03-28,2000,4120000,3,2060.0,2060.0,2167.0,2060.0,2168.0
2016-03-29,15902,32742218,3,2059.0,2059.0,2161.0,2059.0,2167.0
2016-03-30,11566,23744998,9,2053.0,2053.0,2156.0,2053.0,2161.0
2016-04-02,489,1001961,1,2049.0,2049.0,2156.0,2049.0,2156.0
2016-04-05,2000,4098000,1,2049.0,2049.0,2155.0,2049.0,2156.0
2016-04-06,3000,6144000,4,2048.0,2048.0,2154.0,2048.0,2155.0
2016-04-10,10810,22128070,4,2047.0,2047.0,2150.0,2047.0,2154.0
2016-04-11,1022,2087946,1,2043.0,2043.0,2150.0,2043.0,2150.0
2016-04-16,500,1021500,1,2043.0,2043.0,2150.0,2043.0,2150.0
2016-04-18,1500,3064500,2,2043.0,2043.0,2149.0,2043.0,2150.0
2016-04-19,50048,102198016,3,2042.0,2042.0,2129.0,2042.0,2149.0
2016-04-20,66995,135530885,6,2023.0,2023.0,2103.0,2023.0,2129.0
2016-04-23,38160,76243680,9,1998.0,1998.0,2088.0,1998.0,2103.0
2016-04-25,1750,3472000,2,1984.0,1984.0,2087.0,1984.0,2088.0
2016-04-26,3860,7654380,3,1983.0,1983.0,2086.0,1983.0,2087.0
2016-05-04,17955,35586810,2,1982.0,1982.0,2079.0,1982.0,2086.0
2016-05-07,376568,744114368,45,1982.0,1976.0,1976.0,1980.0,2079.0
2016-05-08,181523,340900194,39,1878.0,1878.0,1910.0,1878.0,1976.0
2016-05-09,20694051,38232730715,74,1870.0,1815.0,1848.0,1847.0,1910.0
2016-05-10,59239,105881913,28,1896.0,1771.0,1835.0,1773.0,1848.0
2016-05-11,17878,31676280,8,1775.0,1760.0,1831.0,1760.0,1835.0
2016-05-14,4835,8638360,4,1891.0,1756.0,1830.0,1761.0,1831.0
2016-05-15,21652,37684792,19,1750.0,1739.0,1823.0,1739.0,1830.0
2016-05-16,24805,42973078,12,1800.0,1732.0,1815.0,1800.0,1823.0
2016-05-17,50866,87907180,19,1789.0,1725.0,1799.0,1726.0,1815.0
2016-05-18,40717,69629570,15,1712.0,1710.0,1786.0,1710.0,1799.0
2016-05-21,103460,187932174,40,1875.0,1710.0,1797.0,1875.0,1786.0
2016-05-23,84936,146466247,19,1750.0,1708.0,1775.0,1737.0,1797.0
2016-05-24,1500,2660500,2,1800.0,1721.0,1775.0,1721.0,1775.0
2016-05-25,17352,29730099,7,1790.0,1710.0,1771.0,1790.0,1775.0
2016-05-28,29609,50668390,8,1726.0,1710.0,1765.0,1710.0,1771.0
2016-05-29,10703,18404110,7,1789.0,1710.0,1763.0,1710.0,1765.0
2016-05-30,16154,27624340,3,1711.0,1710.0,1760.0,1710.0,1763.0
2016-05-31,9774,16668603,3,1710.0,1701.0,1758.0,1701.0,1760.0
2016-06-01,33017199,58044016299,7,1758.0,1701.0,1758.0,1758.0,1758.0
2016-06-05,20015,34028188,10,1701.0,1699.0,1754.0,1699.0,1758.0
2016-06-06,1000,1680000,1,1680.0,1680.0,1754.0,1680.0,1754.0
2016-06-07,33004000,57889046000,4,1770.0,1753.0,1754.0,1753.0,1754.0
2016-06-08,8704,14594418,6,1678.0,1676.0,1752.0,1678.0,1754.0
2016-06-11,8488,14237888,6,1700.0,1670.0,1750.0,1700.0,1752.0
2016-06-12,33007640,57763251919,7,1760.0,1663.0,1750.0,1665.0,1750.0
2016-06-13,64167,112003406,22,1774.0,1667.0,1749.0,1750.0,1750.0
2016-06-14,33202159,60095975928,34,1836.0,1662.0,1810.0,1836.0,1749.0
2016-06-15,287210,543210423,36,1900.0,1800.0,1891.0,1900.0,1810.0
2016-06-18,278191,552129745,39,1985.0,1918.0,1985.0,1985.0,1891.0
2016-06-19,646940,1348039260,118,2084.0,2080.0,2084.0,2084.0,1985.0
2016-06-20,19006389,41312975439,73,2175.0,1980.0,2174.0,2050.0,2084.0
2016-06-21,49680,102658973,20,2067.0,2066.0,2154.0,2066.0,2174.0
2016-06-22,534802,1109375461,106,2149.0,2047.0,2074.0,2149.0,2154.0
2016-06-25,33046247,70713191481,18,2140.0,1990.0,2140.0,2033.0,2074.0
2016-06-26,140847,293664046,47,2189.0,2033.0,2111.0,2140.0,2140.0
2016-06-28,8314,16885415,10,2100.0,2011.0,2109.0,2019.0,2111.0
2016-06-29,12393,24836923,11,2005.0,2004.0,2104.0,2004.0,2109.0
2016-07-02,22359,44783241,14,2140.0,1999.0,2096.0,1999.0,2104.0
2016-07-03,21995,43814040,7,1992.0,1992.0,2088.0,1992.0,2096.0
2016-07-04,21073298,44457453063,12,2110.0,1984.0,2110.0,2080.0,2088.0
2016-07-10,1820,3681900,5,2045.0,2005.0,2109.0,2005.0,2110.0
2016-07-11,496,993984,1,2004.0,2004.0,2109.0,2004.0,2109.0
2016-07-12,756,1515024,1,2004.0,2004.0,2109.0,2004.0,2109.0
2016-07-17,993,1989972,1,2004.0,2004.0,2109.0,2004.0,2109.0
2016-07-18,30000,60120000,1,2004.0,2004.0,2097.0,2004.0,2109.0
2016-08-02,66463,126732440,23,1978.0,1880.0,1907.0,1880.0,2097.0
2016-08-03,187898,345954462,47,1929.0,1812.0,1853.0,1860.0,1907.0
2016-08-06,108387,209716675,28,1945.0,1845.0,1886.0,1945.0,1853.0
2016-08-07,53632,103091450,17,1966.0,1896.0,1893.0,1896.0,1886.0
2016-08-08,2761449,5225468438,12,1893.0,1821.0,1892.0,1821.0,1893.0
2016-08-09,94262,182892674,9,1957.0,1827.0,1909.0,1827.0,1892.0
2016-08-10,16875,32168750,7,1910.0,1882.0,1909.0,1882.0,1909.0
2016-08-13,92574,175796673,19,1927.0,1850.0,1906.0,1900.0,1909.0
2016-08-14,27196,53024547,9,1990.0,1821.0,1910.0,1865.0,1906.0
2016-08-15,72150,131769198,29,1893.0,1816.0,1888.0,1816.0,1910.0
2016-08-16,20123,36977468,7,1888.0,1812.0,1884.0,1888.0,1888.0
2016-08-17,16334,29606489,9,1816.0,1811.0,1880.0,1811.0,1884.0
2016-08-20,49250,89437376,14,1867.0,1787.0,1868.0,1790.0,1880.0
2016-08-24,5365,10190338,5,1900.0,1899.0,1869.0,1900.0,1868.0
2016-08-28,84625,150376600,22,1890.0,1776.0,1840.0,1776.0,1869.0
2016-08-29,83405,145811540,20,1776.0,1748.0,1812.0,1748.0,1840.0
2016-08-30,61478,106718603,17,1748.0,1722.0,1795.0,1748.0,1812.0
2016-08-31,9948,17347840,15,1750.0,1707.0,1793.0,1750.0,1795.0
2016-09-03,13270,22809280,6,1799.0,1704.0,1789.0,1704.0,1793.0
2016-09-04,5243,8939315,2,1705.0,1705.0,1787.0,1705.0,1789.0
2016-09-05,1320,2251920,1,1706.0,1706.0,1787.0,1706.0,1787.0
2016-09-06,11460,20475120,4,1787.0,1786.0,1787.0,1787.0,1787.0
2016-09-10,8800,15836300,10,1800.0,1799.0,1787.0,1800.0,1787.0
2016-09-13,133255,246113115,24,1876.0,1702.0,1816.0,1876.0,1787.0
2016-09-14,6608,12311180,2,1900.0,1840.0,1817.0,1840.0,1816.0
2016-09-17,8493,15287400,3,1800.0,1800.0,1816.0,1800.0,1817.0
2016-09-18,66532,115296822,14,1820.0,1726.0,1796.0,1820.0,1816.0
2016-09-21,700,1232000,2,1760.0,1760.0,1796.0,1760.0,1796.0
2016-09-24,6923,12414627,6,1820.0,1759.0,1796.0,1790.0,1796.0
2016-09-25,10225,18237300,9,1800.0,1708.0,1796.0,1800.0,1796.0
2016-09-26,13500,24390500,12,1809.0,1800.0,1797.0,1809.0,1796.0
2016-09-27,26895,47524135,13,1815.0,1708.0,1794.0,1815.0,1797.0
2016-09-28,7250,12535500,7,1741.0,1717.0,1792.0,1717.0,1794.0
2016-10-01,4500,7882500,5,1795.0,1717.0,1791.0,1795.0,1792.0
2016-10-03,228114,389961971,20,1750.0,1702.0,1724.0,1750.0,1791.0
2016-10-04,31696,52864281,13,1710.0,1644.0,1718.0,1663.0,1724.0
2016-10-05,1219,2127197,2,1763.0,1663.0,1718.0,1763.0,1718.0
2016-10-08,14514,24298350,9,1710.0,1665.0,1716.0,1700.0,1718.0
2016-10-09,19764,33528460,8,1763.0,1673.0,1715.0,1763.0,1716.0
2016-10-16,23367,38483104,8,1663.0,1639.0,1710.0,1639.0,1715.0
2016-10-17,52328,89509432,8,1719.0,1660.0,1710.0,1714.0,1710.0
2016-10-18,87322,152466510,24,1795.0,1700.0,1721.0,1750.0,1710.0
2016-10-19,7111,12430150,6,1750.0,1730.0,1722.0,1730.0,1721.0
2016-10-22,75008,134416736,16,1808.0,1730.0,1740.0,1808.0,1722.0
2016-10-23,49786,90823872,12,1827.0,1816.0,1754.0,1827.0,1740.0
2016-10-24,206988,381064908,9,1841.0,1841.0,1816.0,1841.0,1754.0
2016-10-25,1479255,2787577154,109,1906.0,1740.0,1884.0,1906.0,1816.0
2016-10-26,290360,574093272,49,1978.0,1966.0,1977.0,1978.0,1884.0
2016-10-29,165015,336087586,37,2075.0,1890.0,2013.0,2075.0,1977.0
2016-10-30,374817,724148601,50,2035.0,1919.0,1932.0,1923.0,2013.0
2016-10-31,84606,171125913,31,2028.0,1947.0,1960.0,2028.0,1932.0
2016-11-01,110014,224214584,40,2058.0,1950.0,1992.0,2058.0,1960.0
2016-11-02,86023,179873093,21,2091.0,2090.0,2024.0,2091.0,1992.0
2016-11-05,46062,94522660,15,2119.0,2030.0,2029.0,2107.0,2024.0
2016-11-06,84460,175743664,21,2100.0,1941.0,2045.0,2080.0,2029.0
2016-11-07,58902,117638340,19,2070.0,1946.0,2035.0,2029.0,2045.0
2016-11-08,130432,269064131,21,2080.0,1941.0,2048.0,1973.0,2035.0
2016-11-09,127856,253073630,26,2120.0,1960.0,2015.0,2000.0,2048.0
2016-11-12,72237,141668008,9,2115.0,1921.0,2001.0,1973.0,2015.0
2016-11-13,24846,49566938,9,2099.0,1943.0,2000.0,2070.0,2001.0
2016-11-14,185812,389839595,30,2100.0,2090.0,2067.0,2100.0,2000.0
2016-11-15,16925,33596450,8,2101.0,1976.0,2062.0,1976.0,2067.0
2016-11-16,17286,33894968,12,1966.0,1960.0,2056.0,1960.0,2062.0
2016-11-19,18911,36974417,14,1958.0,1954.0,2049.0,1957.0,2056.0
2016-11-21,11310,22066909,4,2023.0,1951.0,2045.0,2019.0,2049.0
2016-11-22,79770,155065110,13,1950.0,1943.0,2015.0,1943.0,2045.0
2016-11-23,23329,44798692,4,1921.0,1920.0,2007.0,1921.0,2015.0
2016-11-26,63438,125972374,14,2081.0,1950.0,2002.0,2081.0,2007.0
2016-11-27,215661,437271237,22,2102.0,1950.0,2022.0,2102.0,2002.0
2016-11-29,121064,256358954,20,2123.0,2001.0,2065.0,2123.0,2022.0
2016-12-03,635365,1347369395,57,2158.0,2005.0,2121.0,2129.0,2065.0
2016-12-04,35744,72326863,15,2121.0,2015.0,2108.0,2022.0,2121.0
2016-12-05,819282,1787743911,91,2213.0,2011.0,2182.0,2111.0,2108.0
2016-12-06,296091,616629343,58,2137.0,2073.0,2083.0,2137.0,2182.0
2016-12-07,375928,764828556,43,2183.0,1979.0,2035.0,1982.0,2083.0
2016-12-10,149364,292660458,21,2072.0,1934.0,1993.0,1934.0,2035.0
2016-12-11,869689,1651284190,60,2000.0,1894.0,1899.0,1894.0,1993.0
2016-12-12,19807,36890359,13,1926.0,1817.0,1896.0,1926.0,1899.0
2016-12-13,26962,51356580,12,1939.0,1820.0,1897.0,1939.0,1896.0
2016-12-14,60135,113956591,14,1930.0,1816.0,1897.0,1928.0,1897.0
2016-12-18,5080,9227478,3,1818.0,1816.0,1895.0,1816.0,1897.0
2016-12-19,119000,234293931,34,1989.0,1830.0,1928.0,1864.0,1895.0
2016-12-20,19905,36876883,7,1856.0,1833.0,1922.0,1856.0,1928.0
2016-12-31,412300,709296000,31,1734.0,1720.0,1720.0,1734.0,1922.0
2017-01-02,183727,321339192,18,1806.0,1720.0,1738.0,1722.0,1720.0
2017-01-03,164605,299885880,14,1824.0,1740.0,1785.0,1824.0,1738.0
2017-01-04,399605,748853121,22,1874.0,1713.0,1874.0,1874.0,1785.0
2017-01-07,24074,46470483,16,1967.0,1887.0,1879.0,1965.0,1874.0
2017-01-08,441967,870110414,50,1972.0,1942.0,1969.0,1972.0,1879.0
2017-01-09,9453,17755399,4,1950.0,1877.0,1966.0,1950.0,1969.0
2017-01-11,976373,1981748889,83,2060.0,1900.0,2030.0,2060.0,1966.0
2017-01-14,446549,938145503,33,2130.0,2031.0,2101.0,2100.0,2030.0
2017-01-15,547560,1195025785,32,2199.0,2136.0,2182.0,2184.0,2101.0
2017-01-16,675692,1497757103,59,2270.0,2073.0,2217.0,2213.0,2182.0
2017-01-24,432426,1068245656,40,2480.0,2356.0,2470.0,2356.0,2193.0
2017-01-28,8479,19900213,1,2347.0,2347.0,2466.0,2347.0,2470.0
2017-01-29,1362500,3192337500,131,2343.0,2343.0,2343.0,2343.0,2466.0
2017-01-30,722674,1685889940,88,2356.0,2226.0,2333.0,2226.0,2343.0
2017-01-31,40039,88923582,23,2356.0,2217.0,2316.0,2217.0,2333.0
2017-02-01,369520,851271984,54,2431.0,2201.0,2304.0,2202.0,2316.0
2017-02-04,9380,20532820,15,2189.0,2189.0,2300.0,2189.0,2304.0
2017-02-05,447289,1033869261,63,2399.0,2185.0,2311.0,2211.0,2300.0
2017-02-06,814063,1920859536,71,2400.0,2222.0,2360.0,2397.0,2311.0
2017-02-07,308534,740918062,225,2408.0,2359.0,2401.0,2359.0,2360.0
2017-02-08,318808,763704801,194,2400.0,2300.0,2396.0,2397.0,2401.0
2017-02-11,1586410,3939336815,426,2515.0,2427.0,2483.0,2475.0,2396.0
2017-02-12,1147978,2941684377,548,2594.0,2458.0,2562.0,2589.0,2483.0
2017-02-13,1986046,5300687472,435,2690.0,2580.0,2669.0,2690.0,2562.0
2017-02-14,431724,1209393645,199,2802.0,2793.0,2801.0,2802.0,2669.0
2017-02-15,1885125,5528993306,550,2941.0,2803.0,2933.0,2941.0,2801.0
2017-02-18,1467614,4483893555,153,3070.0,2950.0,3055.0,3065.0,2933.0
2017-02-19,335935,1003669125,85,3069.0,2903.0,2988.0,2903.0,3055.0
2017-02-20,494755,1465109681,99,3044.0,2839.0,2961.0,2839.0,2988.0
2017-02-21,1505226,4280024992,369,2930.0,2813.0,2843.0,2868.0,2961.0
2017-02-22,232497,651513415,79,2900.0,2701.0,2808.0,2706.0,2843.0
