,Date,Trend
0,2015-08-09,4
1,2015-08-16,4
2,2015-08-23,7
3,2015-08-30,9
4,2015-09-06,6
5,2015-09-13,5
6,2015-09-20,3
7,2015-09-27,7
8,2015-10-04,7
9,2015-10-11,3
10,2015-10-18,0
11,2015-10-25,3
12,2015-11-01,5
13,2015-11-08,3
14,2015-11-15,7
15,2015-11-22,3
16,2015-11-29,7
17,2015-12-06,0
18,2015-12-13,3
19,2015-12-20,4
20,2015-12-27,4
21,2016-01-03,7
22,2016-01-10,3
23,2016-01-17,4
24,2016-01-24,3
25,2016-01-31,9
26,2016-02-07,7
27,2016-02-14,3
28,2016-02-21,3
29,2016-02-28,0
30,2016-03-06,3
31,2016-03-13,3
32,2016-03-20,7
33,2016-03-27,7
34,2016-04-03,19
35,2016-04-10,6
36,2016-04-17,5
37,2016-04-24,3
38,2016-05-01,6
39,2016-05-08,5
40,2016-05-15,8
41,2016-05-22,7
42,2016-05-29,6
43,2016-06-05,6
44,2016-06-12,6
45,2016-06-19,5
46,2016-06-26,4
47,2016-07-03,9
48,2016-07-10,5
49,2016-07-17,4
50,2016-07-24,7
51,2016-07-31,10
52,2016-08-07,6
53,2016-08-14,10
54,2016-08-21,6
55,2016-08-28,10
56,2016-09-04,7
57,2016-09-11,13
58,2016-09-18,4
59,2016-09-25,6
60,2016-10-02,9
61,2016-10-09,5
62,2016-10-16,4
63,2016-10-23,5
64,2016-10-30,7
65,2016-11-06,5
66,2016-11-13,5
67,2016-11-20,3
68,2016-11-27,7
69,2016-12-04,6
70,2016-12-11,12
71,2016-12-18,4
72,2016-12-25,11
73,2017-01-01,3
74,2017-01-08,10
75,2017-01-15,4
76,2017-01-22,6
77,2017-01-29,5
78,2017-02-05,4
79,2017-02-12,5
80,2017-02-19,6
81,2017-02-26,8
82,2017-03-05,6
83,2017-03-12,6
84,2017-03-19,5
85,2017-03-26,9
86,2017-04-02,8
87,2017-04-09,3
88,2017-04-16,5
89,2017-04-23,6
90,2017-04-30,13
91,2017-05-07,6
92,2017-05-14,5
93,2017-05-21,13
94,2017-05-28,8
95,2017-06-04,8
96,2017-06-11,5
97,2017-06-18,3
98,2017-06-25,6
99,2017-07-02,9
100,2017-07-09,7
101,2017-07-16,7
102,2017-07-23,7
103,2017-07-30,7
104,2017-08-06,3
105,2017-08-13,3
106,2017-08-20,7
107,2017-08-27,7
108,2017-09-03,5
109,2017-09-10,5
110,2017-09-17,3
111,2017-09-24,4
112,2017-10-01,0
113,2017-10-08,3
114,2017-10-15,5
115,2017-10-22,6
116,2017-10-29,3
117,2017-11-05,5
118,2017-11-12,3
119,2017-11-19,5
120,2017-11-26,5
121,2017-12-03,5
122,2017-12-10,8
123,2017-12-17,9
124,2017-12-24,7
125,2017-12-31,7
126,2018-01-07,7
127,2018-01-14,9
128,2018-01-21,6
129,2018-01-28,6
130,2018-02-04,9
131,2018-02-11,0
132,2018-02-18,5
133,2018-02-25,4
134,2018-03-04,3
135,2018-03-11,3
136,2018-03-18,5
137,2018-03-25,9
138,2018-04-01,8
139,2018-04-08,8
140,2018-04-15,6
141,2018-04-22,7
142,2018-04-29,3
143,2018-05-06,5
144,2018-05-13,4
145,2018-05-20,3
146,2018-05-27,3
147,2018-06-03,3
148,2018-06-10,3
149,2018-06-17,0
150,2018-06-24,4
151,2018-07-01,3
152,2018-07-08,9
153,2018-07-15,6
154,2018-07-22,3
155,2018-07-29,9
156,2018-08-05,6
157,2018-08-12,5
158,2018-08-19,0
159,2018-08-26,5
160,2018-09-02,3
161,2018-09-09,8
162,2018-09-16,6
163,2018-09-23,3
164,2018-09-30,4
165,2018-10-07,6
166,2018-10-14,6
167,2018-10-21,6
168,2018-10-28,7
169,2018-11-04,3
170,2018-11-11,0
171,2018-11-18,6
172,2018-11-25,6
173,2018-12-02,3
174,2018-12-09,5
175,2018-12-16,3
176,2018-12-23,3
177,2018-12-30,5
178,2019-01-06,6
179,2019-01-13,7
180,2019-01-20,3
181,2019-01-27,4
182,2019-02-03,7
183,2019-02-10,9
184,2019-02-17,6
185,2019-02-24,6
186,2019-03-03,0
187,2019-03-10,5
188,2019-03-17,3
189,2019-03-24,12
190,2019-03-31,4
191,2019-04-07,4
192,2019-04-14,0
193,2019-04-21,8
194,2019-04-28,7
195,2019-05-05,10
196,2019-05-12,16
197,2019-05-19,7
198,2019-05-26,12
199,2019-06-02,13
200,2019-06-09,11
201,2019-06-16,15
202,2019-06-23,7
203,2019-06-30,15
204,2019-07-07,6
205,2019-07-14,11
206,2019-07-21,8
207,2019-07-28,10
208,2019-08-04,19
209,2019-08-11,5
210,2019-08-18,8
211,2019-08-25,16
212,2019-09-01,18
213,2019-09-08,8
214,2019-09-15,18
215,2019-09-22,21
216,2019-09-29,16
217,2019-10-06,14
218,2019-10-13,10
219,2019-10-20,12
220,2019-10-27,9
221,2019-11-03,10
222,2019-11-10,16
223,2019-11-17,8
224,2019-11-24,6
225,2019-12-01,10
226,2019-12-08,18
227,2019-12-15,17
228,2019-12-22,21
229,2019-12-29,15
230,2020-01-05,9
231,2020-01-12,12
232,2020-01-19,17
233,2020-01-26,8
234,2020-02-02,10
235,2020-02-09,11
236,2020-02-16,20
237,2020-02-23,20
238,2020-03-01,13
239,2020-03-08,10
240,2020-03-15,8
241,2020-03-22,13
242,2020-03-29,16
243,2020-04-05,20
244,2020-04-12,24
245,2020-04-19,31
246,2020-04-26,30
247,2020-05-03,22
248,2020-05-10,28
249,2020-05-17,18
250,2020-05-24,14
251,2020-05-31,18
252,2020-06-07,42
253,2020-06-14,26
254,2020-06-21,20
255,2020-06-28,34
256,2020-07-05,20
257,2020-07-12,26
258,2020-07-19,36
259,2020-07-26,42
260,2020-08-02,100
