,Date,Trend
0,2015-08-09,11
1,2015-08-16,16
2,2015-08-23,11
3,2015-08-30,14
4,2015-09-06,26
5,2015-09-13,0
6,2015-09-20,10
7,2015-09-27,0
8,2015-10-04,10
9,2015-10-11,20
10,2015-10-18,10
11,2015-10-25,0
12,2015-11-01,0
13,2015-11-08,15
14,2015-11-15,13
15,2015-11-22,10
16,2015-11-29,20
17,2015-12-06,10
18,2015-12-13,0
19,2015-12-20,0
20,2015-12-27,11
21,2016-01-03,11
22,2016-01-10,10
23,2016-01-17,0
24,2016-01-24,21
25,2016-01-31,10
26,2016-02-07,10
27,2016-02-14,21
28,2016-02-21,10
29,2016-02-28,30
30,2016-03-06,10
31,2016-03-13,0
32,2016-03-20,11
33,2016-03-27,10
34,2016-04-03,0
35,2016-04-10,0
36,2016-04-17,0
37,2016-04-24,10
38,2016-05-01,11
39,2016-05-08,24
40,2016-05-15,10
41,2016-05-22,11
42,2016-05-29,0
43,2016-06-05,11
44,2016-06-12,11
45,2016-06-19,21
46,2016-06-26,18
47,2016-07-03,11
48,2016-07-10,11
49,2016-07-17,11
50,2016-07-24,11
51,2016-07-31,28
52,2016-08-07,17
53,2016-08-14,36
54,2016-08-21,23
55,2016-08-28,22
56,2016-09-04,11
57,2016-09-11,54
58,2016-09-18,25
59,2016-09-25,32
60,2016-10-02,10
61,2016-10-09,32
62,2016-10-16,37
63,2016-10-23,11
64,2016-10-30,28
65,2016-11-06,10
66,2016-11-13,10
67,2016-11-20,20
68,2016-11-27,20
69,2016-12-04,10
70,2016-12-11,20
71,2016-12-18,14
72,2016-12-25,11
73,2017-01-01,10
74,2017-01-08,10
75,2017-01-15,10
76,2017-01-22,16
77,2017-01-29,0
78,2017-02-05,19
79,2017-02-12,9
80,2017-02-19,19
81,2017-02-26,16
82,2017-03-05,9
83,2017-03-12,28
84,2017-03-19,10
85,2017-03-26,14
86,2017-04-02,19
87,2017-04-09,20
88,2017-04-16,16
89,2017-04-23,14
90,2017-04-30,39
91,2017-05-07,42
92,2017-05-14,26
93,2017-05-21,36
94,2017-05-28,35
95,2017-06-04,20
96,2017-06-11,10
97,2017-06-18,25
98,2017-06-25,17
99,2017-07-02,18
100,2017-07-09,26
101,2017-07-16,24
102,2017-07-23,21
103,2017-07-30,30
104,2017-08-06,35
105,2017-08-13,13
106,2017-08-20,10
107,2017-08-27,15
108,2017-09-03,10
109,2017-09-10,10
110,2017-09-17,20
111,2017-09-24,23
112,2017-10-01,24
113,2017-10-08,29
114,2017-10-15,29
115,2017-10-22,26
116,2017-10-29,22
117,2017-11-05,31
118,2017-11-12,22
119,2017-11-19,16
120,2017-11-26,14
121,2017-12-03,13
122,2017-12-10,19
123,2017-12-17,39
124,2017-12-24,31
125,2017-12-31,26
126,2018-01-07,25
127,2018-01-14,15
128,2018-01-21,27
129,2018-01-28,22
130,2018-02-04,14
131,2018-02-11,21
132,2018-02-18,21
133,2018-02-25,9
134,2018-03-04,18
135,2018-03-11,14
136,2018-03-18,18
137,2018-03-25,9
138,2018-04-01,9
139,2018-04-08,9
140,2018-04-15,21
141,2018-04-22,9
142,2018-04-29,9
143,2018-05-06,9
144,2018-05-13,18
145,2018-05-20,19
146,2018-05-27,34
147,2018-06-03,9
148,2018-06-10,27
149,2018-06-17,9
150,2018-06-24,12
151,2018-07-01,9
152,2018-07-08,9
153,2018-07-15,19
154,2018-07-22,14
155,2018-07-29,15
156,2018-08-05,27
157,2018-08-12,18
158,2018-08-19,9
159,2018-08-26,9
160,2018-09-02,18
161,2018-09-09,18
162,2018-09-16,9
163,2018-09-23,13
164,2018-09-30,21
165,2018-10-07,27
166,2018-10-14,42
167,2018-10-21,12
168,2018-10-28,18
169,2018-11-04,9
170,2018-11-11,27
171,2018-11-18,9
172,2018-11-25,12
173,2018-12-02,9
174,2018-12-09,12
175,2018-12-16,14
176,2018-12-23,15
177,2018-12-30,13
178,2019-01-06,15
179,2019-01-13,24
180,2019-01-20,14
181,2019-01-27,12
182,2019-02-03,14
183,2019-02-10,13
184,2019-02-17,23
185,2019-02-24,46
186,2019-03-03,56
187,2019-03-10,35
188,2019-03-17,22
189,2019-03-24,32
190,2019-03-31,18
191,2019-04-07,18
192,2019-04-14,46
193,2019-04-21,33
194,2019-04-28,39
195,2019-05-05,24
196,2019-05-12,27
197,2019-05-19,20
198,2019-05-26,44
199,2019-06-02,26
200,2019-06-09,35
201,2019-06-16,21
202,2019-06-23,17
203,2019-06-30,30
204,2019-07-07,20
205,2019-07-14,30
206,2019-07-21,55
207,2019-07-28,24
208,2019-08-04,39
209,2019-08-11,45
210,2019-08-18,32
211,2019-08-25,38
212,2019-09-01,37
213,2019-09-08,17
214,2019-09-15,39
215,2019-09-22,50
216,2019-09-29,61
217,2019-10-06,36
218,2019-10-13,36
219,2019-10-20,41
220,2019-10-27,52
221,2019-11-03,22
222,2019-11-10,54
223,2019-11-17,0
224,2019-11-24,20
225,2019-12-01,25
226,2019-12-08,22
227,2019-12-15,28
228,2019-12-22,36
229,2019-12-29,58
230,2020-01-05,21
231,2020-01-12,59
232,2020-01-19,48
233,2020-01-26,53
234,2020-02-02,41
235,2020-02-09,39
236,2020-02-16,55
237,2020-02-23,45
238,2020-03-01,43
239,2020-03-08,22
240,2020-03-15,34
241,2020-03-22,29
242,2020-03-29,42
243,2020-04-05,44
244,2020-04-12,55
245,2020-04-19,68
246,2020-04-26,90
247,2020-05-03,70
248,2020-05-10,52
249,2020-05-17,53
250,2020-05-24,39
251,2020-05-31,47
252,2020-06-07,53
253,2020-06-14,66
254,2020-06-21,57
255,2020-06-28,68
256,2020-07-05,76
257,2020-07-12,44
258,2020-07-19,55
259,2020-07-26,86
260,2020-08-02,100
