,Date,Trend
0,2015-08-09,2
1,2015-08-16,2
2,2015-08-23,2
3,2015-08-30,4
4,2015-09-06,0
5,2015-09-13,2
6,2015-09-20,0
7,2015-09-27,0
8,2015-10-04,2
9,2015-10-11,0
10,2015-10-18,0
11,2015-10-25,0
12,2015-11-01,2
13,2015-11-08,0
14,2015-11-15,0
15,2015-11-22,0
16,2015-11-29,2
17,2015-12-06,2
18,2015-12-13,0
19,2015-12-20,0
20,2015-12-27,2
21,2016-01-03,2
22,2016-01-10,4
23,2016-01-17,3
24,2016-01-24,2
25,2016-01-31,2
26,2016-02-07,2
27,2016-02-14,4
28,2016-02-21,0
29,2016-02-28,4
30,2016-03-06,2
31,2016-03-13,2
32,2016-03-20,0
33,2016-03-27,4
34,2016-04-03,3
35,2016-04-10,3
36,2016-04-17,4
37,2016-04-24,4
38,2016-05-01,4
39,2016-05-08,4
40,2016-05-15,2
41,2016-05-22,4
42,2016-05-29,0
43,2016-06-05,0
44,2016-06-12,0
45,2016-06-19,0
46,2016-06-26,0
47,2016-07-03,0
48,2016-07-10,2
49,2016-07-17,2
50,2016-07-24,2
51,2016-07-31,2
52,2016-08-07,5
53,2016-08-14,2
54,2016-08-21,5
55,2016-08-28,2
56,2016-09-04,4
57,2016-09-11,2
58,2016-09-18,2
59,2016-09-25,4
60,2016-10-02,2
61,2016-10-09,2
62,2016-10-16,0
63,2016-10-23,3
64,2016-10-30,2
65,2016-11-06,4
66,2016-11-13,3
67,2016-11-20,6
68,2016-11-27,4
69,2016-12-04,4
70,2016-12-11,2
71,2016-12-18,3
72,2016-12-25,2
73,2017-01-01,3
74,2017-01-08,5
75,2017-01-15,2
76,2017-01-22,4
77,2017-01-29,2
78,2017-02-05,2
79,2017-02-12,2
80,2017-02-19,5
81,2017-02-26,6
82,2017-03-05,6
83,2017-03-12,4
84,2017-03-19,2
85,2017-03-26,2
86,2017-04-02,2
87,2017-04-09,3
88,2017-04-16,2
89,2017-04-23,6
90,2017-04-30,5
91,2017-05-07,3
92,2017-05-14,2
93,2017-05-21,6
94,2017-05-28,13
95,2017-06-04,2
96,2017-06-11,7
97,2017-06-18,6
98,2017-06-25,4
99,2017-07-02,2
100,2017-07-09,0
101,2017-07-16,3
102,2017-07-23,4
103,2017-07-30,4
104,2017-08-06,2
105,2017-08-13,5
106,2017-08-20,5
107,2017-08-27,2
108,2017-09-03,3
109,2017-09-10,3
110,2017-09-17,2
111,2017-09-24,6
112,2017-10-01,2
113,2017-10-08,4
114,2017-10-15,3
115,2017-10-22,3
116,2017-10-29,3
117,2017-11-05,2
118,2017-11-12,2
119,2017-11-19,3
120,2017-11-26,6
121,2017-12-03,4
122,2017-12-10,2
123,2017-12-17,2
124,2017-12-24,4
125,2017-12-31,2
126,2018-01-07,3
127,2018-01-14,4
128,2018-01-21,3
129,2018-01-28,0
130,2018-02-04,4
131,2018-02-11,4
132,2018-02-18,3
133,2018-02-25,3
134,2018-03-04,2
135,2018-03-11,4
136,2018-03-18,2
137,2018-03-25,0
138,2018-04-01,2
139,2018-04-08,2
140,2018-04-15,4
141,2018-04-22,2
142,2018-04-29,2
143,2018-05-06,3
144,2018-05-13,2
145,2018-05-20,4
146,2018-05-27,2
147,2018-06-03,2
148,2018-06-10,4
149,2018-06-17,2
150,2018-06-24,4
151,2018-07-01,0
152,2018-07-08,2
153,2018-07-15,3
154,2018-07-22,5
155,2018-07-29,2
156,2018-08-05,3
157,2018-08-12,2
158,2018-08-19,2
159,2018-08-26,3
160,2018-09-02,2
161,2018-09-09,2
162,2018-09-16,3
163,2018-09-23,4
164,2018-09-30,2
165,2018-10-07,9
166,2018-10-14,2
167,2018-10-21,5
168,2018-10-28,3
169,2018-11-04,2
170,2018-11-11,0
171,2018-11-18,4
172,2018-11-25,2
173,2018-12-02,2
174,2018-12-09,2
175,2018-12-16,4
176,2018-12-23,8
177,2018-12-30,2
178,2019-01-06,2
179,2019-01-13,3
180,2019-01-20,5
181,2019-01-27,4
182,2019-02-03,4
183,2019-02-10,2
184,2019-02-17,2
185,2019-02-24,2
186,2019-03-03,0
187,2019-03-10,4
188,2019-03-17,4
189,2019-03-24,2
190,2019-03-31,0
191,2019-04-07,3
192,2019-04-14,6
193,2019-04-21,3
194,2019-04-28,4
195,2019-05-05,6
196,2019-05-12,2
197,2019-05-19,2
198,2019-05-26,3
199,2019-06-02,4
200,2019-06-09,4
201,2019-06-16,2
202,2019-06-23,4
203,2019-06-30,4
204,2019-07-07,5
205,2019-07-14,4
206,2019-07-21,7
207,2019-07-28,11
208,2019-08-04,7
209,2019-08-11,5
210,2019-08-18,3
211,2019-08-25,5
212,2019-09-01,5
213,2019-09-08,5
214,2019-09-15,3
215,2019-09-22,6
216,2019-09-29,9
217,2019-10-06,4
218,2019-10-13,5
219,2019-10-20,6
220,2019-10-27,4
221,2019-11-03,3
